Id,ItemId,RM,PRO,FIN,Mid
24860,59794,1,0,0,4288
24861,59794,0,1,0,4288
24862,59801,1,0,0,4288
24863,59801,0,1,0,4288
24864,59934,1,0,0,4288
24865,59934,0,1,0,4288
24866,59472,1,0,0,4288
24867,59472,0,1,0,4288
24868,59955,1,0,0,4288
24869,59955,0,1,0,4288
24870,59464,1,0,0,4288
24871,59464,0,1,0,4288
24872,59751,0,0,1,4289
24873,59752,0,0,1,4289
24874,58226,0,0,1,4289
24875,57906,0,0,1,4289
24876,57907,0,0,1,4289
24877,59849,0,0,1,4289
24878,59848,0,0,1,4289
24879,59735,0,0,1,4289
24880,58185,0,0,1,4289
24881,58225,0,0,1,4289
24882,59765,0,0,1,4289
24883,59792,0,0,1,4289
24884,59784,0,0,1,4289
24885,59791,0,0,1,4289
24886,58227,0,0,1,4289
24887,59775,0,0,1,4289
24888,59716,0,0,1,4289
24889,59501,0,0,1,4290
24890,59455,0,0,1,4290
24891,59454,0,0,1,4290
24892,59581,0,0,1,4290
24893,59551,0,0,1,4290
24894,59545,0,0,1,4290
24895,59616,0,0,1,4290
24896,59627,0,0,1,4290
24897,59628,0,0,1,4290
24898,59591,0,0,1,4290
24899,59596,0,0,1,4290
24900,59597,0,0,1,4290
24901,59580,0,0,1,4290
24902,59582,0,0,1,4290
24903,59573,0,0,1,4290
24904,59590,0,0,1,4290
24905,59470,1,0,0,4291
24906,59470,0,1,0,4291
24907,59948,1,0,0,4291
24908,59948,0,1,0,4291
24909,59937,1,0,0,4291
24910,59937,0,1,0,4291
24911,59903,1,0,0,4291
24912,59903,0,1,0,4291
24913,59559,1,0,0,4291
24914,59559,0,1,0,4291
24915,59853,1,0,0,4291
24916,59853,0,1,0,4291
24917,59805,1,0,0,4291
24918,59805,0,1,0,4291
24919,59806,1,0,0,4291
24920,59806,0,1,0,4291
24921,59928,0,0,1,4292
24922,59776,0,0,1,4292
24923,59807,0,0,1,4292
24924,59808,0,0,1,4292
24925,59757,0,0,1,4293
24926,59731,0,0,1,4293
24927,59739,0,0,1,4293
24928,60013,0,0,1,4293
24929,59968,0,0,1,4293
24930,59859,0,0,1,4293
24931,59461,0,0,1,4293
24932,59502,0,0,1,4293
24933,59511,0,0,1,4293
24934,59539,0,0,1,4293
24935,59552,0,0,1,4293
24936,59578,0,0,1,4293
24937,58188,0,1,0,4294
24938,59802,0,1,0,4294
24939,59772,0,1,0,4294
24940,58224,0,1,0,4294
24941,58327,0,1,0,4294
24942,59761,0,1,0,4294
24943,59621,0,1,0,4295
24944,59468,0,1,0,4295
24945,58334,0,1,0,4295
24946,57913,0,1,0,4295
24947,57917,0,1,0,4295
24948,57916,0,1,0,4295
24949,59496,0,1,0,4295
24950,59500,0,1,0,4295
24951,59774,0,1,0,4295
24952,59753,0,1,0,4295
24953,59723,1,0,0,4296
24954,59723,0,1,0,4296
24955,59942,1,0,0,4297
24956,59942,0,1,0,4297
24957,59760,1,0,0,4297
24958,59760,0,1,0,4297
24959,59950,1,0,0,4297
24960,59950,0,1,0,4297
24961,58335,1,0,0,4297
24962,58335,0,1,0,4297
24963,57914,1,0,0,4297
24964,57914,0,1,0,4297
24965,59796,1,0,0,4297
24966,59796,0,1,0,4297
24967,59795,1,0,0,4297
24968,59795,0,1,0,4297
24969,59856,1,0,0,4297
24970,59856,0,1,0,4297
24971,59964,1,0,0,4297
24972,59964,0,1,0,4297
24973,59720,1,0,0,4297
24974,59720,0,1,0,4297
24975,59857,0,1,0,4298
24976,59888,0,1,0,4298
24977,59754,0,1,0,4298
24978,57905,0,1,0,4298
24979,59570,0,1,0,4298
24980,59537,0,1,0,4298
24981,59733,0,1,0,4298
24982,59577,0,1,0,4298
24983,59771,0,1,0,4298
24984,59467,0,1,0,4298
24985,59634,0,1,0,4298
24986,59635,0,1,0,4298
24987,59474,0,1,0,4298
24988,59622,0,1,0,4298
24989,57354,1,0,0,4299
24990,57354,0,1,0,4299
24991,58448,0,0,1,4300
24992,58445,0,0,1,4301
24993,59904,1,0,0,4302
24994,59904,0,1,0,4302
24995,59631,1,0,0,4302
24996,59631,0,1,0,4302
24997,59546,1,0,0,4302
24998,59546,0,1,0,4302
24999,59986,1,0,0,4302
25000,59986,0,1,0,4302
25001,59473,1,0,0,4302
25002,59473,0,1,0,4302
25003,59504,1,0,0,4302
25004,59504,0,1,0,4302
25005,59499,1,0,0,4302
25006,59499,0,1,0,4302
25007,59951,1,0,0,4302
25008,59951,0,1,0,4302
25009,59768,1,0,0,4302
25010,59768,0,1,0,4302
25011,59939,1,0,0,4302
25012,59939,0,1,0,4302
25013,59508,1,0,0,4303
25014,59508,0,1,0,4303
25015,59506,1,0,0,4303
25016,59506,0,1,0,4303
25017,59584,1,0,0,4303
25018,59584,0,1,0,4303
25019,59509,1,0,0,4303
25020,59509,0,1,0,4303
25021,59585,1,0,0,4303
25022,59585,0,1,0,4303
25023,59717,1,0,0,4303
25024,59717,0,1,0,4303
25025,59586,1,0,0,4303
25026,59586,0,1,0,4303
25027,59617,1,0,0,4303
25028,59617,0,1,0,4303
25029,59851,1,0,0,4303
25030,59851,0,1,0,4303
25031,59721,1,0,0,4303
25032,59721,0,1,0,4303
25033,59547,1,0,0,4303
25034,59547,0,1,0,4303
25035,59619,1,0,0,4303
25036,59619,0,1,0,4303
25037,59850,1,0,0,4303
25038,59850,0,1,0,4303
25039,59926,1,0,0,4304
25040,59926,0,1,0,4304
25041,59946,1,0,0,4304
25042,59946,0,1,0,4304
25043,59933,1,0,0,4304
25044,59933,0,1,0,4304
25045,59957,1,0,0,4304
25046,59957,0,1,0,4304
25047,57908,1,0,0,4304
