Id,MId,PONo,PRNo,PRId,SPRNo,SPRId,Qty,Rate,Discount,AddDesc,PF,ExST,VAT,DelDate,AmendmentNo,BudgetCode,PODId
43745,8157,0865,,0,0781,25811,1.0,25.0,0.0,,1,31,94,2021-12-13,1,0,63478
43746,8157,0865,,0,0781,25810,1.0,380.0,0.0,,1,31,94,2021-12-13,0,0,63479
43747,8157,0865,,0,0781,25816,50.0,12.91,50.0,,1,31,94,2021-12-13,1,2,63480
43748,8157,0865,,0,0781,25815,50.0,13.58,50.0,,1,31,94,2021-12-13,1,2,63481
43749,8157,0865,,0,0781,25814,150.0,150.0,55.0,,1,31,94,2021-12-13,1,2,63482
43750,8157,0865,,0,0781,25813,87.0,19.35,25.0,,1,31,94,2021-12-13,1,2,63483
43751,8158,0858,0210,43123,,0,10.0,0.25,0.0,,1,31,94,2021-12-11,0,2,63447
43752,8158,0858,0210,43122,,0,11.0,6.81,0.0,,1,31,94,2021-12-11,0,2,63448
43753,8158,0858,0209,43121,,0,37.0,0.1,0.0,,1,31,94,2021-12-11,0,2,63449
43754,8158,0858,0209,43120,,0,35.0,176.0,0.0,,1,31,94,2021-12-11,0,2,63450
43755,8159,0858,0210,43123,,0,700.0,0.5,0.0,,1,31,94,2022-01-08,1,2,63447
43756,8159,0858,0210,43122,,0,69.0,20.33,0.0,,1,31,94,2022-01-08,1,2,63448
43757,8159,0858,0209,43121,,0,249.0,2.77,0.0,,1,31,94,2022-01-08,1,2,63449
43758,8159,0858,0209,43120,,0,32.0,269.99,0.0,,1,31,94,2022-01-08,1,2,63450
43759,8160,0858,0210,43123,,0,700.0,0.5,0.0,,1,31,94,2022-01-08,1,2,63447
43760,8160,0858,0210,43122,,0,69.0,20.33,60.0,,1,31,94,2022-01-08,2,2,63448
43761,8160,0858,0209,43121,,0,249.0,2.77,60.0,,1,31,94,2022-01-08,2,2,63449
43762,8160,0858,0209,43120,,0,22.0,269.99,60.0,,1,31,94,2022-01-08,2,2,63450
