Id,InvoiceNo,ItemId,ReqQty,Qty,AmtInPer,Rate,MId,Unit
4775,0061,3279,4.0,4.0,100.0,2639.25,1787,1
4782,0062,3401,125.0,150.0,100.0,500.0,1792,1
4783,0062,3403,5.0,5.0,100.0,4250.0,1792,1
4784,0063,3402,90.0,90.0,100.0,2000.0,1793,1
4791,0064,3411,12.0,12.0,100.0,2560.0,1795,3
4792,0064,3412,6.0,6.0,100.0,2560.0,1795,3
4793,0064,3413,6.0,6.0,100.0,2560.0,1795,3
4794,0064,3414,10.0,10.0,100.0,4250.0,1795,1
4795,0064,3415,10.0,10.0,100.0,2000.0,1795,1
4796,0064,3416,20.0,20.0,100.0,280.0,1795,1
4797,0064,3417,1.0,1.0,100.0,10000.0,1795,1
4802,0065,3285,49.0,98.0,100.0,39800.0,1798,1
4803,0065,3286,24.0,73.0,100.0,39800.0,1798,1
4804,0066,3285,15.0,98.0,100.0,39800.0,1799,1
4805,0066,3286,15.0,73.0,100.0,39800.0,1799,1
4806,0067,3407,1.0,18.0,100.0,22800.0,1800,1
4807,0067,3408,1.0,17.0,100.0,22800.0,1800,1
4808,0067,3409,1.0,18.0,100.0,22800.0,1800,1
4809,0067,3410,1.0,17.0,100.0,22800.0,1800,1
4815,0068,3365,1.0,1.0,100.0,575000.0,1803,1
4816,0068,3368,1.0,1.0,100.0,725000.0,1803,1
4817,0068,3369,1.0,1.0,100.0,650000.0,1803,1
4818,0068,3426,4.0,8.0,100.0,1155000.0,1803,1
4819,0069,3422,1.0,1.0,100.0,220000.0,1804,1
4820,0069,3424,1.0,1.0,100.0,200000.0,1804,1
4821,0070,3408,4.0,17.0,100.0,22800.0,1805,1
4822,0070,3410,4.0,17.0,100.0,22800.0,1805,1
4823,0071,3407,1.0,18.0,100.0,22800.0,1806,1
4824,0071,3409,3.0,18.0,100.0,22800.0,1806,1
4825,0072,3408,3.0,17.0,100.0,22800.0,1807,1
4826,0072,3410,5.0,17.0,100.0,22800.0,1807,1
4827,0073,3409,4.0,18.0,100.0,22800.0,1808,1
4828,0074,3407,6.0,18.0,100.0,22800.0,1809,1
4829,0074,3408,1.0,17.0,100.0,22800.0,1809,1
4830,0074,3410,1.0,17.0,100.0,22800.0,1809,1
4831,0075,3408,5.0,17.0,100.0,22800.0,1810,1
4832,0075,3410,3.0,17.0,100.0,22800.0,1810,1
4833,0076,3407,4.0,18.0,100.0,22800.0,1811,1
4834,0077,3407,4.0,18.0,100.0,22800.0,1812,1
4837,0078,3371,1.0,1.0,100.0,1.0,1814,1
4838,0078,3372,1.0,1.0,100.0,1.0,1814,1
4839,0079,3407,1.0,18.0,100.0,22800.0,1815,1
4840,0079,3409,3.0,18.0,100.0,22800.0,1815,1
4841,0080,3407,1.0,18.0,100.0,22800.0,1816,1
4842,0080,3409,3.0,18.0,100.0,22800.0,1816,1
4845,0081,3375,1.0,2.0,100.0,450000.0,1817,1
4846,0081,3376,1.0,2.0,100.0,450000.0,1817,1
4847,0082,3373,1.0,2.0,100.0,550000.0,1818,1
4848,0082,3374,1.0,2.0,100.0,550000.0,1818,1
4849,0083,3217,128.0,128.0,100.0,7000.0,1819,3
4850,0084,3408,2.0,17.0,100.0,22800.0,1820,1
4851,0084,3410,2.0,17.0,100.0,22800.0,1820,1
4852,0085,3408,1.0,17.0,100.0,22800.0,1821,1
4853,0085,3409,2.0,18.0,100.0,22800.0,1821,1
4854,0085,3410,1.0,17.0,100.0,22800.0,1821,1
4855,0086,3409,2.0,18.0,100.0,22800.0,1822,1
4856,0087,3216,104.56,204.56,100.0,37500.0,1823,1
4859,0088,3216,100.0,204.56,100.0,37500.0,1825,1
4860,0088,3218,28.0,28.0,100.0,37581.0,1825,1
4861,0088,3298,4.5,4.5,100.0,30000.0,1825,1
4862,0088,3299,1.6,1.6,100.0,37500.0,1825,1
4863,0089,3400,8.0,8.0,100.0,175000.0,1826,1
4864,0090,3366,2.0,2.0,100.0,550000.0,1827,1
4865,0090,3377,2.0,2.0,100.0,580000.0,1827,1
4866,0091,3378,1.0,1.0,100.0,850000.0,1828,1
