Id,PRNo,PId,CId,Qty,SupplierId,Rate,Discount,AHId,DelDate,Remarks,Type,ItemId,MId
38775,0085,,,27.0,S252,1.0,0.0,28,2019-08-23,,,5555,8030
38776,0085,,,27.0,S252,0.4,0.0,28,2019-08-23,,,5558,8030
38777,0085,,,84.0,S252,1.5,35.0,28,2019-08-23,,,5590,8030
38778,0085,,,12.0,S252,4.54,0.0,28,2019-08-23,,,70708,8030
38779,0085,,,12.0,S252,1.0,0.0,28,2019-08-23,,,66684,8030
38780,0085,,,36.0,S252,0.5,0.0,28,2019-08-23,,,6028,8030
38781,0085,,,12.0,S252,0.1,0.0,28,2019-08-23,,,5685,8030
38782,0085,,,84.0,S252,0.1,0.0,28,2019-08-23,,,5684,8030
38783,0085,,,50.0,S252,23.39,30.0,28,2019-08-23,,,6846,8030
38784,0086,,,54.0,S252,0.08,0.0,28,2019-08-23,,,7214,8031
38785,0086,,,96.0,S252,0.02,0.0,28,2019-08-23,,,11949,8031
38786,0086,,,54.0,S252,0.08,0.0,28,2019-08-23,,,7255,8031
38787,0086,,,12.0,S252,0.14,0.0,28,2019-08-23,,,7263,8031
38788,0087,,,3.0,P073,47.5,0.0,28,2019-08-27,,,70886,8032
38789,0087,,,3.0,P073,47.5,0.0,28,2019-08-27,,,70887,8032
38790,0088,,,3.0,P076,7000.0,0.0,28,2019-08-29,,,70919,8033
38791,0089,,,10.0,C009,1000.0,0.0,28,2019-09-03,,,70728,8034
38792,0090,,,1.0,K024,3560.0,0.0,28,2019-09-03,,,70907,8035
38793,0090,,,1.0,A074,34000.0,0.0,28,2019-09-03,,,71085,8035
38794,0091,,,6.0,S023,975.0,10.0,28,2019-09-18,,,71110,8036
38795,0092,,,6.0,K008,285.0,0.0,28,2019-09-20,,,70972,8037
38796,0092,,,3.0,K008,203.0,0.0,28,2019-09-20,,,70973,8037
38797,0093,,,3.0,K027,500.0,10.0,28,2019-09-20,,,68316,8038
38798,0094,,,1.0,B011,620.0,0.0,28,2019-09-28,,,71226,8039
38799,0094,,,1.0,B011,1175.0,0.0,28,2019-09-28,,,71227,8039
38800,0094,,,2.0,B011,400.0,0.0,28,2019-09-21,,,71131,8039
38801,0094,,,58.0,B011,400.0,0.0,28,2019-09-23,,,71147,8039
38802,0094,,,2.0,B011,400.0,0.0,28,2019-09-28,,,71137,8039
38803,0094,,,2.0,B011,600.0,0.0,28,2019-09-28,,,71132,8039
38804,0095,,,10.0,A063,1115.0,0.0,42,2019-09-23,,,71259,8040
38805,0095,,,10.0,A063,1115.0,0.0,42,2019-09-23,,,71260,8040
38813,0097,,,1.0,S241,827.0,0.0,28,2002-01-01,,,71169,8042
38814,0097,,,1.0,S241,827.0,0.0,28,2002-01-01,,,71170,8042
38815,0097,,,2.0,S241,827.0,0.0,28,2002-01-01,,,71140,8042
38816,0097,,,2.0,S241,827.0,0.0,28,2002-01-01,,,71141,8042
38823,0099,,,54.0,S241,211.4,0.0,28,2019-09-24,,,71093,8044
38824,0099,,,12.0,S241,102.0,0.0,28,2019-09-24,,,71098,8044
38825,0099,,,24.0,S241,16.5,0.0,28,2019-09-24,,,71100,8044
38826,0099,,,24.0,S241,67.5,0.0,28,2019-09-24,,,71101,8044
38827,0099,,,12.0,S241,312.0,0.0,28,2019-09-24,,,71102,8044
38828,0100,,,3.0,S261,1550.0,53.0,28,2019-09-24,,,71261,8045
38829,0101,,,3.0,S248,250.0,0.0,28,2019-08-14,,,68140,8046
38830,0101,,,240.0,Q002,2.0,0.0,28,2019-08-14,,,8861,8046
38831,0101,,,27.0,Q002,6.0,0.0,28,2019-08-14,,,8879,8046
38832,0101,,,96.0,Q002,5.0,0.0,28,2019-08-14,,,8864,8046
38833,0101,,,42.0,Q002,6.0,0.0,28,2019-08-14,,,8862,8046
38834,0101,,,90.0,Q002,5.0,0.0,28,2019-08-14,,,23940,8046
38835,0102,,,10.0,S241,6.0,0.0,28,2019-09-25,,,13780,8047
38836,0103,,,10.0,S241,1.0,0.0,28,2019-09-25,,,13783,8048
38837,0103,,,24.0,S241,22.0,0.0,28,2019-09-25,,,13778,8048
38838,0103,,,6.0,S241,140.0,0.0,28,2019-09-25,,,13784,8048
38839,0103,,,4.0,S241,58.0,0.0,28,2019-09-25,,,13799,8048
38840,0103,,,48.0,S241,8.0,0.0,28,2019-09-25,,,13779,8048
38841,0103,,,8.0,S241,120.0,0.0,28,2019-09-25,,,13796,8048
38842,0103,,,4.0,S241,1.0,0.0,28,2019-09-25,,,13787,8048
38843,0104,,,1.0,S241,85000.0,0.0,28,2019-10-01,,,71340,8049
38844,0104,,,10.0,S241,25.0,0.0,28,2019-10-01,,,71342,8049
38845,0104,,,12.0,S241,48.0,0.0,28,2019-10-01,,,71343,8049
38846,0104,,,12.0,S241,150.0,0.0,28,2019-10-01,,,71344,8049
38847,0104,,,4.0,S241,150.0,0.0,28,2019-10-01,,,71345,8049
38848,0104,,,6.0,S241,2062.0,0.0,28,2019-10-01,,,71346,8049
38849,0104,,,1.0,S241,1066.0,0.0,28,2019-10-01,,,71348,8049
38850,0104,,,2.0,S241,30.0,0.0,28,2019-10-01,,,71349,8049
38851,0104,,,2.0,S241,30.0,0.0,28,2019-10-01,,,71350,8049
38852,0104,,,1.0,S241,30.0,0.0,28,2019-10-01,,,71351,8049
38853,0104,,,1.0,S241,30.0,0.0,28,2019-10-01,,,71352,8049
38854,0104,,,1.0,S241,28.0,0.0,28,2019-10-01,,,71353,8049
38855,0104,,,1.0,S241,80.0,0.0,28,2019-10-01,,,71354,8049
38856,0104,,,2.0,S241,50.0,0.0,28,2019-10-01,,,71355,8049
38857,0104,,,2.0,S241,50.0,0.0,28,2019-10-01,,,71356,8049
38858,0104,,,1.0,S241,665.0,0.0,28,2019-10-01,,,71357,8049
38859,0104,,,1.0,S241,655.0,0.0,28,2019-10-01,,,71358,8049
38860,0104,,,2.0,S241,150.0,0.0,28,2019-10-01,,,71359,8049
38861,0104,,,16.0,S241,330.0,0.0,28,2019-10-01,,,71364,8049
38862,0104,,,30.0,S241,95.0,0.0,28,2019-10-01,,,71363,8049
38863,0105,,,2.0,S241,706.25,0.0,28,2019-10-02,,,71399,8050
38864,0105,,,2.0,S241,706.25,0.0,28,2019-10-02,,,71398,8050
38865,0105,,,42.0,S241,201.0,0.0,28,2019-10-02,,,71393,8050
38866,0105,,,2.0,S241,30.0,0.0,28,2019-10-02,,,71392,8050
38867,0105,,,10.0,S241,1000.0,0.0,28,2019-10-02,,,71390,8050
38868,0105,,,10.0,S241,1000.0,0.0,28,2019-10-02,,,71389,8050
38869,0105,,,2.0,S241,25.0,0.0,28,2019-10-02,,,71385,8050
38870,0105,,,2.0,S241,25.0,0.0,28,2019-10-02,,,71384,8050
38873,0105,,,2.0,S241,561.0,0.0,28,2019-10-02,,,71380,8050
38874,0105,,,58.0,S241,20.0,0.0,28,2019-10-02,,,71378,8050
38875,0105,,,116.0,S241,16.6,0.0,28,2019-10-02,,,71377,8050
38876,0105,,,58.0,S241,16.6,0.0,28,2019-10-02,,,71376,8050
38877,0105,,,58.0,S241,531.0,0.0,28,2019-10-02,,,71374,8050
38878,0105,,,12.0,S241,177.0,0.0,28,2019-10-02,,,71370,8050
38879,0105,,,12.0,S241,232.0,0.0,28,2019-10-02,,,71369,8050
38880,0106,,,4.0,S241,8900.0,0.0,28,2019-10-02,,,71361,8051
38881,0106,,,2.0,S241,21840.0,0.0,28,2019-10-02,,,71362,8051
38882,0106,,,6.0,S241,1208.75,0.0,28,2019-10-02,,,71368,8051
38883,0106,,,6.0,S241,1208.75,0.0,28,2019-10-02,,,71371,8051
38884,0106,,,6.0,S241,1205.0,0.0,28,2019-10-02,,,71372,8051
38885,0106,,,10.0,S241,5600.0,0.0,28,2019-10-02,,,71391,8051
38886,0107,,,6.0,S241,1333.75,0.0,28,2019-10-03,,,71367,8052
38887,0108,,,49.98,V048,45.0,22.5,28,2019-10-05,,,8817,8053
38888,0109,,,2.0,S241,11800.0,0.0,28,2019-11-30,,,71532,8054
38889,0109,,,2.0,S241,13900.0,0.0,28,2019-11-01,,,71533,8054
38890,0109,,,2.0,S241,11900.0,0.0,28,2019-11-01,,,71534,8054
38891,0110,,,2.0,S241,24700.0,0.0,28,2019-12-01,,,71602,8055
38892,0110,,,2.0,S241,24700.0,0.0,28,2019-11-02,,,71603,8055
38893,0111,,,1.0,S241,10.0,0.0,28,2019-11-02,,,71587,8056
38894,0111,,,1.0,S241,10.0,0.0,28,2019-11-02,,,71588,8056
38895,0111,,,4.0,S241,10.0,0.0,28,2019-11-02,,,71582,8056
38896,0112,,,2.0,S241,700.0,0.0,42,2019-11-20,,,71615,8057
38897,0112,,,1.0,S241,12500.0,0.0,28,2019-11-03,,,71547,8057
38898,0112,,,4.0,S241,10.0,0.0,28,2019-11-03,,,71584,8057
38899,0112,,,1.0,S241,25.0,0.0,28,2019-11-22,,,71585,8057
38900,0112,,,2.0,S241,30.0,0.0,28,2019-11-03,,,71586,8057
38901,0112,,,2.0,S241,790.0,0.0,42,2019-11-03,,,71616,8057
38902,0112,,,8.0,S241,24.0,0.0,28,2019-11-03,,,71583,8057
38903,0113,,,8.0,S241,97.4,0.0,28,2019-11-04,,,71557,8058
38904,0114,,,2.0,S241,110.0,0.0,28,2019-11-04,,,62830,8059
38905,0115,,,8.0,S241,125.0,0.0,28,2019-11-07,,,71558,8060
38906,0115,,,22.0,S241,120.0,0.0,28,2019-11-07,,,71566,8060
38907,0115,,,4.0,S241,130.0,0.0,28,2019-11-07,,,71591,8060
38908,0115,,,2.0,S241,150.0,0.0,28,2019-11-07,,,71578,8060
38909,0115,,,2.0,S241,185.0,0.0,28,2019-11-07,,,71579,8060
38910,0116,,,2.0,S241,300.0,0.0,28,2019-11-07,,,71612,8061
38911,0116,,,2.0,S241,190.0,0.0,28,2019-11-07,,,71608,8061
38912,0117,,,70.0,G033,1100.0,0.0,28,2019-11-20,,,71375,8062
38913,0118,,,22.0,S241,280.0,0.0,28,2019-11-08,,,71568,8063
38914,0118,,,22.0,S241,280.0,0.0,28,2019-11-08,,,71563,8063
38915,0119,,,8.0,S241,8200.0,0.0,28,2019-11-08,,,71666,8064
38916,0119,,,2.0,S241,6200.0,0.0,28,2019-11-08,,,71665,8064
38917,0119,,,2.0,S241,24800.0,0.0,28,2019-11-08,,,71648,8064
38918,0119,,,2.0,S241,16000.0,0.0,28,2019-11-08,,,71617,8064
38919,0119,,,8.0,S241,450.0,0.0,28,2019-11-08,,,71597,8064
38920,0119,,,12.0,S241,310.0,0.0,28,2019-11-08,,,71594,8064
38923,0120,,,4.0,S241,2100.0,0.0,28,2019-11-08,,,71551,8065
38924,0120,,,4.0,S241,2700.0,0.0,28,2019-11-08,,,71552,8065
38925,0120,,,4.0,S241,2500.0,0.0,28,2019-11-08,,,71553,8065
38926,0120,,,4.0,S241,1750.0,0.0,28,2019-11-08,,,71554,8065
