id,ItemCode,N
25249,7086 015 00 0 3 063 0 1,M000-172-000
25250,7086 016 00 0 0 022 0 0,M000-173-000
25251,7086 016 00 0 0 030 0 0,M000-174-000
25252,7086 016 00 0 1 032 0 0,M000-175-000
25253,7086 017 16 0 3 240 0 1,M000-176-000
25254,7086 017 16 0 3 440 0 1,M000-177-000
25255,7086 017 32 0 3 240 0 1,M000-178-000
25256,7086 017 32 0 3 440 0 1,M000-179-000
25257, 7086 01763 0 3 240 0 1,M000-180-000
25258, 7086 01763 0 3 440 0 1,M000-181-000
25259,7086 018 00 0 0 008 0 0,M000-182-000
25260,7086 018 04 0 0 004 0 1,M000-183-000
25261,7086 018 04 0 0 004 0 2,M000-184-000
25262,7086 018 04 0 0 006 0 1,M000-185-000
25263,7086 018 04 0 0 006 0 2,M000-186-000
25264,7086 018 04 0 0 007 0 0,M000-187-000
25265,7086 018 04 0 0 007 0 1,M000-188-000
25266,7086 018 04 0 0 007 0 2,M000-189-000
25267,7086 018 06 0 0 006 0 1,M000-190-000
25268,7086 018 06 0 0 008 0 0,M000-191-000
25269,7086 018 06 0 0 008 0 1,M000-192-000
25270,7086 018 06 0 0 008 0 2,M000-193-000
25271,7086 018 08 0 0 010 0 0,M000-194-000
25272,7086 018 08 0 0 010 0 1,M000-195-000
25273,7086 018 08 0 0 010 0 2,M000-196-000
25274,7086 018 10 0 0 012 0 0,M000-197-000
25275,7086 018 10 0 0 012 0 1,M000-198-000
25276,7086 018 12 0 0 014 0 0,M000-199-000
25277,7086 018 12 0 0 014 0 1,M000-200-000
25278,7086 018 12 0 0 014 0 2,M000-201-000
25279,7086 019 00 0 1 008 0 0,M000-202-000
25280,7086 019 00 0 1 150 0 0,M000-203-000
25281,7086 019 00 0 2 150 0 0,M000-204-000
25282,7086 019 00 0 3 150 0 0,M000-205-000
25283,7086 019 00 0 4 150 0 0,M000-206-000
25284,7086 019 00 0 5 150 0 0,M000-207-000
25285,7086 019 00 0 6 600 0 0,M000-208-000
25286,7086 019 00 1 1 024 0 0,M000-209-000
25287,7086 019 00 1 1 042 0 0,M000-210-000
25288,7086 019 00 1 1 048 0 1,M000-211-000
25289,7086 019 00 1 2 024 0 0,M000-212-000
25290,7086 019 00 1 2 048 0 0,M000-213-000
25291,7086 019 00 1 2 048 0 1,M000-214-000
25292,7086 019 00 1 3 024 0 0,M000-215-000
25293,7086 019 00 1 3 048 0 0,M000-216-000
25294,7086 019 00 1 3 048 0 1,M000-217-000
25295,7086 019 00 1 4 024 0 0,M000-218-000
25296,7086 019 00 1 4 048 0 0,M000-219-000
25297,7086 019 00 1 4 048 0 1,M000-220-000
25298,7086 019 00 1 5 000 0 1,M000-221-000
25299,7086 019 00 1 5 000 0 2,M000-222-000
25300,7086 019 00 1 5 024 0 0,M000-223-000
25301,7086 019 00 1 5 048 0 0,M000-224-000
25302,7086 019 00 1 5 048 0 1,M000-225-000
25303,7086 019 00 2 1 016 0 0,M000-226-000
25304,7086 020 00 0 0 002 0 0,M000-227-000
25305,7086 020 00 0 0 003 0 0,M000-228-000
25306,7086 020 00 0 1 002 0 0,M000-229-000
25307,7086 020 00 0 1 004 0 0,M000-230-000
25308,7086 020 00 0 1 005 0 0,M000-231-000
25309,7086 020 00 0 2 000 0 0,M000-232-000
25310,7086 020 00 0 2 000 0 1,M000-233-000
25311,7086 020 00 0 2 000 0 2,M000-234-000
25312,7086 020 00 0 2 002 0 0,M000-235-000
25313,7086 020 00 0 2 004 0 0,M000-236-000
25314,7086 020 00 0 3 000 0 1,M000-237-000
25315,7086 020 00 0 3 002 0 0,M000-238-000
25316,7086 020 00 0 3 004 0 0,M000-239-000
25317,7086 020 00 0 3 036 0 0,M000-240-000
25318,7086 020 00 0 3 040 0 0,M000-241-000
25319,7086 020 00 0 4 002 0 0,M000-242-000
25320,7086 020 00 0 4 004 0 0,M000-243-000
25321,7086 020 00 6 0 600 0 0,M000-244-000
25322, 7086 020 006 0 700 0 0,M000-245-000
25323,7086 020 01 0 0 005 0 0,M000-246-000
25324,7086 020 01 0 1 018 0 0,M000-247-000
25325,7086 020 01 0 2 018 0 0,M000-248-000
25326,7086 020 01 0 3 018 0 0,M000-249-000
25327,7086 021 00 0 1 032 0 0,M000-250-000
25328,7086 021 00 0 2 032 0 0,M000-251-000
25329,7086 021 00 0 3 032 0 0,M000-252-000
25330,7086 022 00 0 0 000 0 0,M000-253-000
25331,7086 022 00 0 1 000 0 0,M000-254-000
25332,7086 022 00 0 1 001 0 0,M000-255-000
25333,7086 022 00 0 1 002 0 0,M000-256-000
25334,7086 022 00 0 2 001 0 0,M000-257-000
25335,7086 022 00 0 2 002 0 0,M000-258-000
25336,7086 022 00 0 3 001 0 0,M000-259-000
25337,7086 022 00 0 3 002 0 0,M000-260-000
25338,7086 023 00 0 1 024 0 0,M000-261-000
25339,7086 023 00 0 1 040 0 0,M000-262-000
25340,7086 023 00 0 1 060 0 0,M000-263-000
25341,7086 023 00 0 2 024 0 0,M000-264-000
25342,7086 023 00 0 2 040 0 0,M000-265-000
25343,7086 023 00 0 2 060 0 0,M000-266-000
25344,7086 023 00 0 3 060 0 0,M000-267-000
25345,7086 024 00 0 1 001 0 0,M000-268-000
25346,7086 024 00 0 1 002 0 0,M000-269-000
25347,7086 025 00 0 1 010 0 0,M000-270-000
25348,7086 026 00 0 1 015 0 0,M000-271-000
25349,7086 026 00 0 2 001 0 0,M000-272-000
25350,7086 026 00 0 2 002 0 0,M000-273-000
25351,7086 026 00 0 2 003 0 0,M000-274-000
25352,7086 026 00 0 2 006 0 0,M000-275-000
25353,7086 026 00 0 2 015 0 0,M000-276-000
25354,7086 027 00 0 1 230 0 0,M000-277-000
25355,7086 028 00 0 0 001 0 0,M000-278-000
25356,7086 028 00 0 0 002 0 0,M000-279-000
25357,7086 028 00 0 1 001 0 0,M000-280-000
25358,7086 028 00 0 1 002 0 0,M000-281-000
25359,7086 028 00 0 1 003 0 0,M000-282-000
25360,7086 028 00 0 1 006 0 0,M000-283-000
25361,7086 028 00 0 1 008 0 0,M000-284-000
25362,7086 028 00 0 1 012 0 0,M000-285-000
25363,7086 029 00 0 1 005 0 0,M000-286-000
25364,7086 029 00 0 1 005 0 1,M000-287-000
25365,7086 029 00 0 1 006 0 0,M000-288-000
25366,7086 029 00 0 1 015 0 0,M000-289-000
25367,7086 029 00 1 1 005 0 0,M000-290-000
25368,7086 030 00 0 1 001 0 0,M000-291-000
25369,7086 031 00 0 1 001 0 0,M000-292-000
25370,7086 031 00 0 1 002 0 0,M000-293-000
25371,7086 031 00 0 1 003 0 0,M000-294-000
25372,7086 031 00 0 2 001 0 0,M000-295-000
25373,7086 031 00 0 2 002 0 0,M000-296-000
25374,7086 031 00 0 2 003 0 0,M000-297-000
25375,7086 031 00 0 3 001 0 0,M000-298-000
25376,7086 031 01 0 0 001 0 0,M000-299-000
25377,7086 031 01 0 0 002 0 0,M000-300-000
25378,7086 032 00 0 1 001 0 0,M000-301-000
25379,7086 032 00 0 1 002 0 0,M000-302-000
25380,7086 032 00 0 1 003 0 0,M000-303-000
25381,7086 032 00 0 1 004 0 0,M000-304-000
25382,7086 032 00 0 1 005 0 0,M000-305-000
25383,7086 032 00 0 1 006 0 0,M000-306-000
25384,7086 033 00 0 0 001 0 0,M000-307-000
25385,7086 033 00 0 0 002 0 0,M000-308-000
25386,7086 033 00 0 0 003 0 0,M000-309-000
25387,7086 033 00 0 0 004 0 0,M000-310-000
25388,7086 034 00 0 0 001 0 0,M000-311-000
25389,7086 035 00 0 0 001 0 0,M000-312-000
25390,7086 035 00 0 0 002 0 0,M000-313-000
25391,7086 035 00 0 0 003 0 0,M000-314-000
25392,7086 035 00 0 0 004 0 0,M000-315-000
25393,7086 035 00 0 0 005 0 0,M000-316-000
25394,7086 035 00 0 0 006 0 0,M000-317-000
25395,7086 035 00 0 0 007 0 0,M000-318-000
25396,7086 035 00 0 0 008 0 0,M000-319-000
25397,7086 035 00 0 0 009 0 0,M000-320-000
25398,7086 035 01 0 0 001 0 0,M000-321-000
25399,7086 035 02 0 0 001 0 0,M000-322-000
25400,7086 036 00 0 0 000 0 0,M000-323-000
25401,7086 036 01 0 0 003 2 0,M000-324-000
25402,7086 036 01 0 0 008 0 0,M000-325-000
25403,7086 036 02 0 0 003 2 0,M000-326-000
25404,7086 036 02 0 0 008 0 0,M000-327-000
25405,7086 036 03 0 0 001 0 0,M000-328-000
25406,7086 037 00 0 0 000 0 0,M000-329-000
25407,7086 038 00 0 0 000 0 5,M000-330-000
25408,7086 038 00 0 0 001 0 0,M000-331-000
25409,7086 038 00 0 0 002 0 0,M000-332-000
25410,7086 038 00 0 0 002 5 A,M000-333-000
25411,7086 038 00 0 0 003 0 0,M000-334-000
25412,7086 038 00 0 0 003 3 A,M000-335-000
25413, 7086 038 00 0 0 0036 A,M000-336-000
25414,7086 038 00 0 0 003 8 A,M000-337-000
25415,7086 038 00 0 0 003 8 B,M000-338-000
25416,7086 038 00 0 0 004 0 0,M000-339-000
25417,7086 038 00 0 0 004 1 A,M000-340-000
25418,7086 038 00 0 0 004 4 B,M000-341-000
25419, 7086 038 00 0 0 0046 B,M000-342-000
25420,7086 038 00 0 0 004 7 A,M000-343-000
25421,7086 038 00 0 0 004 8 B,M000-344-000
25422,7086 038 00 0 0 005 1 A,M000-345-000
25423,7086 038 00 0 0 005 1 B,M000-346-000
25424,7086 038 00 0 0 005 2 B,M000-347-000
25425,7086 038 00 0 0 005 4 B,M000-348-000
25426, 7086 038 00 0 0 0056 B,M000-349-000
25427,7086 038 00 0 0 006 3 A,M000-350-000
25428,7086 038 00 0 0 006 7 A,M000-351-000
25429,7086 038 00 0 0 006 8 C,M000-352-000
25430,7086 038 00 0 0 007 0 B,M000-353-000
25431,7086 038 00 0 0 009 5 A,M000-354-000
25432,7086 038 01 0 0 001 0 0,M000-355-000
25433,7086 039 00 0 0 000 0 0,M000-356-000
25434,7086 040 00 0 0 001 0 0,M000-357-000
25435,7086 040 00 0 0 002 0 0,M000-358-000
25436,7086 041 00 0 0 001 0 0,M000-359-000
25437,7086 042 00 0 0 001 0 0,M000-360-000
25438,7086 042 00 0 0 002 0 1,M000-361-000
25439,7086 042 00 0 0 002 0 2,M000-362-000
25440,7086 042 00 0 0 002 0 3,M000-363-000
25441,7086 042 00 0 0 002 0 4,M000-364-000
25442,7086 043 00 0 0 001 0 0,M000-365-000
25443,7086 043 00 0 0 002 0 0,M000-366-000
25444,7086 043 00 0 0 003 0 0,M000-367-000
25445,7086 043 00 0 0 004 0 0,M000-368-000
25446,7086 044 00 0 0 001 0 0,M000-369-000
25447,7086 044 00 0 0 002 0 0,M000-370-000
25448,7086 045 00 0 0 001 0 0,M000-371-000
25449,7086 045 00 0 0 002 0 0,M000-372-000
25450,7086 045 00 0 0 003 0 0,M000-373-000
25451,7086 045 00 0 0 004 0 0,M000-374-000
25452,7086 045 00 0 0 005 0 0,M000-375-000
25453,7086 045 00 0 0 006 0 0,M000-376-000
25454,7086 045 00 0 0 007 0 0,M000-377-000
25455,7086 045 00 0 0 008 0 0,M000-378-000
25456,7086 045 00 0 0 009 0 0,M000-379-000
25457,7086 045 00 0 0 010 0 0,M000-380-000
25458,7086 045 00 0 0 011 0 0,M000-381-000
25459,7086 045 00 0 0 012 0 0,M000-382-000
25460,7086 045 00 0 0 013 0 0,M000-383-000
25461,7086 045 00 0 0 014 0 0,M000-384-000
25462,7086 045 00 0 0 015 0 0,M000-385-000
25463,7086 045 00 0 0 016 0 0,M000-386-000
25464,7086 046 00 0 0 001 0 0,M000-387-000
25465,7086 046 00 0 0 002 0 0,M000-388-000
25466,7086 046 00 0 0 003 0 0,M000-389-000
25467,7086 046 00 0 0 004 0 0,M000-390-000
25468,7086 046 01 0 0 002 0 0,M000-391-000
25469,7086 046 01 0 0 002 0 1,M000-392-000
25470,7086 046 01 0 0 002 0 2,M000-393-000
25471,7086 046 01 0 0 002 0 3,M000-394-000
25472,7086 047 00 0 0 001 0 0,M000-395-000
25473,7086 047 00 0 0 002 0 0,M000-396-000
25474,7086 047 01 0 0 001 0 0,M000-397-000
25475,7086 047 01 0 0 002 0 0,M000-398-000
25476,7086 047 01 0 0 003 0 0,M000-399-000
25477,7086 047 01 0 0 004 0 0,M000-400-000
25478,7086 047 01 0 0 005 0 0,M000-401-000
25479,7086 048 00 0 0 001 0 0,M000-402-000
25480,7086 049 00 0 0 000 0 0,M000-403-000
25481,7086 050 00 0 0 000 0 0,M000-404-000
25482,7086 051 00 0 4 001 0 0,M000-405-000
25483,7086 051 00 0 4 002 0 0,M000-406-000
25484,7086 051 00 0 4 003 0 0,M000-407-000
25485,7086 051 00 0 4 004 0 0,M000-408-000
25486,7086 052 00 0 0 001 0 0,M000-409-000
25487,7086 052 00 0 0 001 1 0,M000-410-000
25488,7086 052 00 0 0 002 0 0,M000-411-000
25489,7086 052 00 0 0 003 0 0,M000-412-000
25490,7086 052 00 0 0 004 0 0,M000-413-000
25491,7086 052 00 0 0 004 0 1,M000-414-000
25492,7086 052 00 0 0 004 0 2,M000-415-000
25493,7086 052 00 0 0 005 0 0,M000-416-000
25494,7086 052 00 0 0 006 0 0,M000-417-000
25495,7086 052 00 0 0 007 0 0,M000-418-000
25496,7086 052 00 0 0 008 0 0,M000-419-000
25497,7086 052 00 0 0 009 0 0,M000-420-000
25498,7086 053 00 0 0 001 0 0,M000-421-000
25499,7086 054 00 0 0 001 0 0,M000-422-000
25500,7086 054 00 0 0 002 0 0,M000-423-000
25501,7086 054 00 0 0 003 0 0,M000-424-000
25502,7086 054 00 0 0 004 0 0,M000-425-000
25503,7086 054 00 0 0 005 0 0,M000-426-000
25504,7086 054 00 0 0 006 0 0,M000-427-000
25505,7086 054 00 0 0 007 0 0,M000-428-000
25506,7086 054 00 0 0 008 0 0,M000-429-000
25507,7086 054 00 0 0 009 0 0,M000-430-000
25508,7086 054 00 0 0 010 0 0,M000-431-000
25509,7086 054 00 0 0 011 0 0,M000-432-000
25510,7086 055 00 0 0 001 0 0,M000-433-000
25511,7086 056 00 0 0 001 0 0,M000-434-000
25512,7086 056 01 0 0 001 0 0,M000-435-000
25513,7086 057 00 0 0 001 0 0,M000-436-000
25514,7086 057 00 0 0 002 0 0,M000-437-000
25515,7086 057 00 0 0 003 0 0,M000-438-000
25516,7086 057 00 0 0 004 0 0,M000-439-000
25517,7086 057 00 0 0 005 0 0,M000-440-000
25518,7086 057 00 0 0 006 0 0,M000-441-000
25519,7086 057 00 0 0 007 0 0,M000-442-000
25520,7086 057 00 0 0 008 0 0,M000-443-000
25521,7086 057 00 0 0 009 0 0,M000-444-000
25522,7086 057 00 0 0 010 0 0,M000-445-000
25523,7086 057 00 0 0 011 0 0,M000-446-000
25524,7086 057 00 0 0 012 0 0,M000-447-000
25525,7086 057 00 0 0 013 0 0,M000-448-000
25526,7086 058 00 0 0 001 0 0,M000-449-000
25527,7086 058 00 0 0 002 0 0,M000-450-000
25528,7086 058 00 0 0 003 0 0,M000-451-000
25529,7086 058 00 0 0 004 0 0,M000-452-000
25530,7086 058 00 0 0 005 0 0,M000-453-000
25531,7086 058 00 0 0 006 0 0,M000-454-000
25532,6993 001 00 0 0 008 0 2,M000-457-000
25533,7060 001 00 0 0 001 0 0,P011-001-000
25534,7060 001 00 0 0 001 1 0,P081-001-000
25535,7060 001 00 0 0 002 0 0,P011-002-000
25536,7060 001 00 0 0 003 0 0,P011-003-000
25537,7060 001 00 0 0 004 0 0,P011-004-000
25538,7060 001 00 0 0 005 0 0,P011-005-000
25539,7060 001 00 0 0 007 0 0,P011-006-000
25540,7060 001 00 0 0 007 1 0,P011-006-100
25541,7060 001 00 0 0 008 0 0,P011-007-000
25542,7060 001 00 0 0 009 0 0,P011-008-000
25543,7060 001 00 0 0 010 0 0,P011-009-000
25544,7060 001 00 0 0 011 0 0,P011-000-100
25545,7060 001 00 0 0 011 1 0,P011-000-200
25546,7060 001 00 0 0 012 0 0,P012-001-000
25547,7060 001 00 0 0 013 0 0,P012-002-000
25548,7060 001 00 0 0 014 0 0,P013-001-000
25549,7060 001 00 0 0 015 0 0,P013-002-000
25550,7060 001 00 0 0 016 0 0,P094-001-000
25551,7060 001 00 0 0 017 0 0,P011-010-000
25552,7060 001 00 0 0 018 0 0,P015-001-000
25553,7060 001 00 0 0 019 0 0,P015-002-000
25554,7060 001 00 0 1 001 0 0,P081-000-100
25555,7060 001 00 0 1 002 0 0,P021-000-100
25556,7060 001 01 0 0 001 0 0,P016-001-000
25557,7060 002 00 0 0 001 0 0,P012-003-000
25558,7060 002 00 0 0 002 0 0,P012-004-000
25559,7060 002 00 0 0 004 0 0,P012-005-000
25560,7060 002 00 0 0 007 0 0,P012-006-000
25561,7060 002 00 0 0 008 0 0,P012-007-000
25562,7060 002 00 0 0 009 0 0,P012-008-000
25563,7060 002 00 0 0 010 0 0,P012-009-000
25564,7060 002 01 0 0 010 0 0,P014-001-000
25565,7060 002 02 0 0 010 0 0,P014-002-000
25566,7060 002 02 0 0 011 0 0,P014-003-000
25567,7060 003 00 0 0 001 0 0,P013-003-000
25568,7060 003 00 0 0 002 0 0,P013-004-000
25569,7060 003 00 0 0 003 0 0,P013-005-000
25570,7060 003 00 0 0 004 0 0,P013-006-000
25571,7060 003 00 0 0 005 0 0,P013-007-000
25572,7060 003 00 0 0 006 0 0,P013-008-000
25573,7060 003 00 0 0 007 0 0,P013-009-000
25574,7060 003 00 0 0 008 0 0,P013-010-000
25575,7060 003 00 0 0 009 0 0,P013-011-000
25576,7060 003 00 0 0 010 0 0,P011-000-300
25577,7060 003 00 0 0 011 0 0,P011-011-000
25578,7060 003 00 0 0 012 0 0,P011-000-400
25579,7060 003 00 0 0 012 1 0,P011-000-500
25580,7060 003 00 0 0 012 1 1,P011-000-600
25581,7060 003 00 0 0 012 1 2,P011-000-700
25582,7060 003 00 0 0 013 0 0,P015-003-000
25583,7060 003 00 0 0 014 0 0,P011-000-800
25584,7060 003 00 0 0 015 0 0,P011-012-000
25585,7060 003 00 0 0 016 0 0,P011-013-000
25586,7060 003 00 0 0 017 0 0,P011-014-000
25587,7060 003 00 0 0 018 0 0,P016-002-000
25588,7060 003 00 0 0 019 0 0,P013-012-000
25589,7060 003 00 0 0 020 0 0,P011-015-000
25590,7060 003 00 0 0 021 0 0,P011-016-000
25591,7060 003 00 0 0 022 0 0,P011-017-000
25592,7060 003 00 0 0 023 0 0,P017-001-000
25593,7060 004 00 0 0 002 0 0,P011-000-900
25594,7060 004 00 0 0 004 0 0,P011-000-110
25595,7060 005 00 0 0 005 0 0,P014-004-000
25596,7060 005 00 0 0 006 0 0,P104-001-000
25597,7060 006 00 0 0 001 0 0,P011-000-120
25598,7060 006 00 0 0 002 0 0,P011-000-130
25599,7060 006 00 0 0 006 0 0,P011-000-140
25600,7060 007 00 0 0 001 0 0,P011-000-150
25601,7060 007 00 0 0 002 0 0,P012-000-100
25602,7060 007 00 0 0 003 0 0,P012-010-000
25603,7060 007 00 0 0 004 0 0,P013-013-000
25604,7060 007 00 0 0 005 0 0,P011-000-160
25605,7060 007 00 0 0 006 0 0,P011-000-170
25606,7060 007 00 0 0 007 0 0,P011-000-180
25607,7060 007 00 0 0 008 0 0,P011-000-190
25608,7060 007 00 0 0 009 0 0,P011-000-210
25609,7060 007 00 0 0 009 1 0,P011-000-220
25610,7060 007 00 0 0 010 0 0,P011-000-230
25611,7060 007 00 0 0 014 0 0,P015-004-000
25612,7060 007 00 0 0 015 0 0,P015-005-000
25613,7060 007 00 0 0 016 0 0,P013-014-000
25614,7060 007 00 0 0 017 0 0,P014-005-000
25615,7060 007 00 0 0 018 0 0,P015-006-000
25616,7060 007 00 0 0 020 0 0,P015-007-000
25617,7060 007 00 0 1 009 1 0,P011-000-240
25618,7060 007 01 0 0 001 0 0,P012-011-000
25619,7060 007 01 0 0 002 0 0,P013-015-000
25620,7060 007 01 0 0 003 0 0,P013-015-100
25621,7060 008 00 0 0 001 0 0,P012-012-000
25622,7060 008 00 0 0 001 1 0,P012-013-000
25623,7060 008 00 0 0 002 0 0,P012-014-000
25624,7060 008 00 0 0 003 0 0,P016-003-000
25625,7060 008 00 0 0 010 0 0,P013-016-000
25626,7060 008 00 0 0 100 0 0,P013-017-000
25627,7060 008 00 0 0 200 0 0,P016-004-000
25628,7060 009 00 0 0 001 0 0,P016-004-100
25629,7060 010 00 0 0 000 0 0,P000-001-000
25630,7060 010 00 0 0 001 0 0,P000-002-000
25631,7060 010 00 0 0 002 0 0,P000-003-000
25632,7060 010 00 0 0 003 0 0,P000-004-000
25633,7060 011 00 0 0 000 0 0,P000-005-000
25634,7060 011 01 0 0 000 0 0,P000-006-000
25635,7060 012 00 0 0 000 0 0,P014-006-000
25636,7060 012 00 0 0 000 0 1,P014-007-000
25637,7060 012 00 0 0 007 0 0,P014-008-000
25638,7060 012 00 0 0 010 0 0,P014-009-000
25639,7060 012 00 0 0 012 0 0,P014-010-000
25640,7060 013 00 0 0 000 0 0,P000-007-000
25641,7060 014 00 0 0 000 2 4,P112-001-000
25642,7060 014 00 0 0 001 0 0,P115-001-000
25643,7060 014 00 0 0 002 0 0,P113-001-000
25644,7060 014 00 0 0 003 0 0,P112-002-000
25645,7060 014 00 0 0 004 0 0,P110-001-000
25646,7060 014 00 0 0 005 0 0,P110-002-000
25647,7060 014 00 0 0 006 0 0,P110-003-000
25648,7060 014 00 0 0 007 0 0,P110-004-000
25649,7060 014 00 0 0 008 0 0,P110-005-000
25650,7060 014 00 0 0 009 0 0,P113-002-000
25651,7060 014 00 0 0 010 0 0,P112-003-000
25652,7060 014 00 0 0 011 0 0,P110-006-000
25653,7060 014 00 0 0 012 0 0,P110-007-000
25654,7060 014 00 0 0 013 0 0,P110-008-000
25655,7060 014 00 0 0 014 0 0,P110-009-000
25656,7060 014 00 0 0 015 0 0,P113-003-000
25657,7060 014 00 0 0 016 0 0,P112-004-000
25658,7060 014 00 0 0 017 0 0,P112-005-000
25659,7060 014 00 0 0 018 0 0,P113-004-000
25660,7060 014 00 0 0 019 0 0,P113-005-000
25661,7060 014 00 0 0 020 0 0,P113-006-000
25662,7060 014 00 0 0 021 0 0,P115-002-000
25663,7060 014 00 0 0 022 0 0,P115-003-000
25664,7060 014 00 0 0 023 0 0,P000-008-000
25665,7060 014 00 0 0 024 0 0,P000-009-000
25666,7060 014 00 0 0 025 0 0,P000-010-000
25667,7060 014 00 0 0 026 0 0,P000-011-000
25668,7060 014 00 0 0 027 0 0,P000-012-000
25669,7060 014 00 0 0 028 0 0,P000-013-000
25670,7060 014 00 0 0 029 0 0,P000-014-000
25671,7060 014 00 0 0 030 0 0,P000-015-000
25672,7060 014 01 0 0 001 0 0,P110-010-000
25673,7060 014 01 0 0 002 0 0,P110-011-000
25674,7060 014 01 0 0 011 0 0,P110-012-000
25675,7060 014 01 0 0 014 0 0,P110-013-000
25676,7060 015 00 0 0 000 0 0,P022-001-000
25677,7060 015 00 0 0 000 1 0,P025-001-000
25678,7060 015 00 0 0 001 0 0,P022-002-000
25679,7060 015 00 0 0 002 0 0,P023-001-000
25680,7060 015 00 0 0 003 0 0,P026-001-000
25681,7060 015 00 0 1 001 0 0,P025-000-100
25682,7060 015 00 0 1 002 0 0,P025-000-200
25683,7060 016 01 0 0 000 0 0,P121-001-000
25684,7060 016 02 0 0 000 0 0,P124-001-000
25685,7060 016 02 0 0 010 0 0,P122-001-000
25686,7060 016 02 0 0 010 9 0,P121-001-100
25687,7060 016 02 0 0 010 9 1,P121-001-200
25688,7060 016 02 0 0 011 1 0,P121-001-300
25689,7060 016 02 0 0 020 0 8,P123-001-000
25690, 7060 016 02 0 0 0306 2,P122-002-000
25691,7060 016 02 0 0 052 0 1,P120-001-000
25692,7060 017 00 0 0 000 0 0,P010-001-000
25693,7060 018 00 0 0 001 0 0,P010-002-000
25694,7060 018 00 0 0 002 0 0,P010-003-000
25695,7060 018 00 0 0 003 0 0,P010-004-000
25696,7060 019 00 0 0 001 0 0,P004-001-000
25697,7060 020 00 0 0 000 0 0,P031-001-000
25698,7060 020 00 0 0 001 0 0,P031-002-000
25699,7060 020 00 0 0 002 0 0,P030-001-000
25700,7060 020 00 0 0 003 0 0,P030-002-000
25701,7060 020 00 0 0 014 0 0,P031-003-000
25702,7060 020 00 0 0 040 0 0,P031-004-000
25703,7060 020 00 0 0 040 0 1,P031-005-000
25704,7060 020 00 0 0 040 0 2,P032-001-000
25705,7060 020 00 0 0 040 0 3,P033-001-000
25706,7060 020 00 0 0 040 0 4,P033-002-000
25707,7060 020 00 0 0 050 0 0,P031-006-000
25708,7060 020 00 0 0 050 0 1,P032-002-000
25709,7060 020 00 0 0 050 0 2,P033-003-000
25710,7060 020 00 0 0 050 0 3,P033-004-000
25711,7060 020 00 0 0 050 0 4,P030-003-000
25712,7060 020 00 0 0 050 0 5,P030-004-000
25713, 7060 020 00 0 0 050 06,P030-005-000
25714,7060 020 00 0 0 050 0 7,P030-006-000
25715,7060 020 00 0 1 002 0 0,P035-001-000
25716,7060 020 00 0 2 003 0 0,P034-001-000
25717,7060 020 01 0 0 048 0 0,P031-007-000
25718,7060 020 02 0 0 032 0 0,P031-008-000
25719,7060 020 02 0 0 064 0 0,P031-009-000
25720,7060 020 02 0 0 128 0 0,P031-010-000
25721,7060 021 00 0 0 001 0 0,P021-001-000
25722,7060 021 00 0 0 001 0 1,P020-001-000
25723,7060 021 00 0 0 001 0 2,P020-002-000
25724,7060 021 00 0 0 001 1 0,P021-002-000
25725,7060 021 00 0 0 002 0 0,P020-003-000
25726,7060 021 00 0 0 003 0 0,P022-002-000
25727,7060 021 00 0 0 003 1 0,P022-003-000
25728,7060 021 00 0 0 003 2 0,P026-002-000
25729,7060 021 00 0 0 004 0 0,P023-002-000
25730,7060 021 00 0 0 004 1 0,P023-003-000
25731,7060 021 00 0 0 005 0 0,P020-004-000
25732,7060 021 00 0 0 005 1 0,P020-005-000
25733,7060 021 00 0 0 006 0 0,P020-006-000
25734,7060 021 00 0 0 006 1 0,P020-007-000
25735,7060 021 00 0 0 007 0 0,P021-003-000
25736,7060 021 00 0 0 007 0 1,P020-008-000
25737,7060 021 00 0 0 007 0 2,P022-004-000
25738,7060 021 00 0 0 007 0 3,P022-005-000
25739,7060 021 00 0 0 007 0 4,P020-009-000
25740,7060 021 00 0 0 007 0 5,P026-003-000
25741, 7060 021 00 0 0 007 06,P020-010-000
25742,7060 021 00 0 0 007 0 7,P023-004-000
25743,7060 021 00 0 0 008 0 0,P024-001-000
25744,7060 021 00 0 0 008 1 0,P024-002-000
25745,7060 021 00 0 0 009 0 0,P021-004-000
25746,7060 021 00 0 0 009 0 1,P021-004-100
25747,7060 021 00 0 0 009 0 2,P021-004-200
25748,7060 022 00 0 0 001 0 0,P000-016-000
25749,7060 022 00 0 0 001 0 1,P000-017-000
25750,7060 022 00 0 0 002 0 0,P000-018-000
25751,7060 022 00 0 0 002 0 1,P000-019-000
25752,8030 000 00 0 0 001 0 0,O011-001-001
25753,8030 000 00 0 0 002 1 0,O011-002-001
25754,8030 000 00 0 0 003 1 0,O011-003-001
25755,8030 000 00 0 0 004 1 0,O011-004-001
25756,8030 000 00 0 0 005 1 0,O011-005-001
25757,8030 000 00 0 0 006 0 0,O011-006-001
25758,8030 000 00 0 0 007 0 0,O011-007-001
25759,8030 000 00 0 0 008 0 0,O011-008-001
25760,8030 000 00 0 0 009 0 0,O011-009-001
25761,8030 000 00 0 0 010 0 0,O011-010-001
25762,8030 001 00 0 0 001 0 0,O012-000-001
25763,8030 001 00 0 0 002 0 0,O012-000-002
25764,8030 001 00 0 0 003 0 0,O012-000-003
25765,8030 001 00 0 0 004 0 0,O012-000-004
25766,8030 001 00 0 0 005 0 0,O012-000-005
