Id,SysDate,SysTime,CompId,FinYearId,SessionId,ItemId,LockUnlock,Type,LockedbyTranaction,LockDate,LockTime
16474,2022-02-13,3:45:42 PM,1,9,SAPL0324,11664,0,2,SAPL0324,2022-02-13,4:58:57 PM
16475,2022-02-13,3:46:57 PM,1,9,sapl0350                                         ,6379,0,2,0979,2022-12-15,1:31:48 PM
16476,2022-02-13,3:48:40 PM,1,9,sapl0350                                         ,82311,0,2,1055,2023-01-04,9:43:11 AM
16477,2022-02-13,4:03:15 PM,1,9,SAPL0324,79560,0,2,0898,2022-11-15,3:14:09 PM
16478,2022-02-13,4:03:19 PM,1,9,sapl0350                                         ,74093,0,2,Sapl0002,2023-02-10,6:14:21 PM
16479,2022-02-13,4:16:10 PM,1,9,sapl0350                                         ,8458,0,2,0960,2022-12-08,2:43:43 PM
16480,2022-02-13,4:21:06 PM,1,9,SAPL0324,81124,0,2,SAPL0324,2022-02-13,4:58:57 PM
16481,2022-02-13,4:28:40 PM,1,9,sapl0350                                         ,26242,0,1,1050,2022-02-13,4:29:23 PM
16482,2022-02-13,4:37:24 PM,1,9,SAPL0324,83405,0,2,SAPL0324,2022-02-13,4:58:57 PM
16483,2022-02-13,4:40:58 PM,1,9,SAPL0324,84470,0,2,1020,2022-12-30,10:38:16 AM
16484,2022-02-13,4:45:05 PM,1,9,SAPL0324,84491,0,2,Sapl0324,2022-03-06,5:02:55 PM
16485,2022-02-14,8:58:33 AM,1,9,sapl0350                                         ,69367,0,2,Sapl0324,2022-03-31,9:30:42 AM
16486,2022-02-14,9:56:11 AM,1,9,sapl0350,9139,0,2,Sapl0324,2022-03-06,5:17:52 PM
16487,2022-02-14,9:59:57 AM,1,9,sapl0350,9139,0,2,Sapl0324,2022-03-06,5:17:52 PM
16488,2022-02-14,10:34:06 AM,1,9,sapl0350,922,0,2,SAPL0001,2022-03-31,3:57:44 PM
16489,2022-02-14,10:35:57 AM,1,9,sapl0350,929,0,2,sapl0290,2022-03-27,3:49:39 PM
16490,2022-02-14,11:56:37 AM,1,9,sapl0350                                         ,12010,0,2,Sapl0002,2023-02-10,6:14:21 PM
16491,2022-02-14,4:15:42 PM,1,9,Sapl0324,85767,0,2,sapl0290,2022-02-15,3:20:14 PM
16492,2022-02-14,4:31:59 PM,1,9,sapl0350                                         ,83854,0,2,SAPL0324,2022-03-26,6:53:21 PM
16493,2022-02-15,9:34:09 AM,1,9,sapl0350                                         ,86598,0,2,sapl0290,2022-03-27,3:49:39 PM
16494,2022-02-15,9:35:11 AM,1,9,sapl0350                                         ,73944,0,2,Sapl0324,2022-03-31,9:30:42 AM
16495,2022-02-15,9:39:56 AM,1,9,sapl0350                                         ,86930,0,2,sapl0290,2022-02-15,3:20:14 PM
16496,2022-02-15,9:40:56 AM,1,9,sapl0350                                         ,86931,0,2,Sapl0324,2022-03-31,9:30:42 AM
16497,2022-02-15,12:08:37 PM,1,9,Sapl0324,10583,0,2,1173,2023-02-09,3:25:51 PM
16498,2022-02-15,12:11:10 PM,1,9,Sapl0324,10584,0,2,Sapl0324,2022-03-31,9:30:42 AM
16499,2022-02-15,12:12:20 PM,1,9,Sapl0324,11208,0,2,Sapl0324,2022-03-31,9:30:42 AM
16500,2022-02-15,1:12:56 PM,1,9,sapl0350                                         ,6379,0,2,0979,2022-12-15,1:31:48 PM
16501,2022-02-15,1:16:12 PM,1,9,sapl0350                                         ,11968,0,2,Sapl0324,2022-08-24,11:04:42 AM
16502,2022-02-15,1:17:32 PM,1,9,sapl0350                                         ,2214,0,2,1180,2023-02-09,4:39:12 PM
16503,2022-02-15,1:18:47 PM,1,9,sapl0350                                         ,2213,0,2,0546,2022-09-05,10:22:24 AM
16504,2022-02-15,1:23:44 PM,1,9,Sapl0324,84532,0,2,SAPL0324,2022-03-26,6:53:21 PM
16505,2022-02-15,1:55:05 PM,1,9,sapl0350                                         ,12000,0,2,0522,2022-08-26,11:43:43 AM
16506,2022-02-15,1:55:59 PM,1,9,sapl0350                                         ,60174,0,2,0986,2022-12-20,1:34:59 PM
16507,2022-02-15,2:28:27 PM,1,9,sapl0350                                         ,84491,0,2,Sapl0324,2022-03-06,5:02:55 PM
16508,2022-02-15,2:47:44 PM,1,9,sapl0350                                         ,83169,0,2,Sapl0324,2022-11-03,3:20:15 PM
16509,2022-02-15,3:16:12 PM,1,9,sapl0350,86939,0,2,Sapl0324,2022-08-24,11:04:42 AM
16510,2022-02-15,5:07:06 PM,1,9,sapl0350,86195,0,2,sapl0290,2022-03-22,4:48:29 PM
16511,2022-02-15,5:14:35 PM,1,9,Sapl0324,83905,0,2,SAPL0324,2022-07-14,10:56:36 AM
16512,2022-02-15,5:15:06 PM,1,9,Sapl0324,83905,0,2,SAPL0324,2022-07-14,10:56:36 AM
