Id,MId,CompId,SessionId,FinYearId,FileName,FileSize,ContentType,FileData
92,2808,1,sapl0173,2,JAYSHREE SECURITY FORCE INV 18 DTD 01.05.2014.jpg,618123.0,image/jpeg,
93,2809,1,sapl0173,2,PROTON SOLUTIONS INV 4027 DTD 28.04.2014.jpg,1056270.0,image/jpeg,
94,2810,1,sapl0173,2,SHERYAS SUPER MARKET INV 002 DTD 29.04.2014.jpg,1153054.0,image/jpeg,
95,2811,1,sapl0173,2,SHERYAS SUPER MARKET INV 001 DTD 11.04.2014.jpg,1397963.0,image/jpeg,
96,2812,1,sapl0173,2,SMC PNEUMATIC INDIA PVT LTD INV 3639 DTD 03.05.2014.jpg,1128182.0,image/jpeg,
97,2814,1,sapl0173,2,HARSHAL INDUSTRIES INV 0153 DTD 29.04.2014.jpg,844830.0,image/jpeg,
98,2813,1,sapl0173,2,FARO INV IN-SO201400103 DTD 02.04.2014 PAGE NO 01 OF 02.jpg,594678.0,image/jpeg,
99,2813,1,sapl0173,2,FARO INV IN-SO201400103 DTD 02.04.2014 PAGE 02 OF 02.jpg,575977.0,image/jpeg,
100,2815,1,sapl0173,2,ADROIT SYSTEMS & PRECISION AUTOMATION INV IN007 DTD 30.04.2014.jpg,806807.0,image/jpeg,
101,2795,1,sapl0173,2,SHANTI FASTNERS & STEELS I PVT LTD INV 21 DTD 23.04.2014.jpg,1474132.0,image/jpeg,
102,2794,1,sapl0173,2,HARDTECH HARDWARE INV 53 DTD 08.04.2014.jpg,1863084.0,image/jpeg,
103,2793,1,sapl0173,2,SAMARTH METAL LABELS INV 39 DTD 14.04.2014.jpg,957914.0,image/jpeg,
104,2791,1,sapl0173,2,HARSHAL INDUSTRIES INV 084 DTD 16.04.2014.jpg,781865.0,image/jpeg,
105,2790,1,sapl0173,2,HARDTECH HARDWARE INV 2173 DTD 31.03.2014.jpg,1888219.0,image/jpeg,
106,2789,1,sapl0173,2,PRECIMAC SOLUTIONS INV 2614-15 DTD 29.04.2014.jpg,1058345.0,image/jpeg,
107,2788,1,sapl0173,2,SAMPAT ENGG WORK INV 1134 DTD 31.03.2014.jpg,1049115.0,image/jpeg,
108,2787,1,sapl0173,2,PIONEER COATS INV 280 DTD 25.04.2014.jpg,1172704.0,image/jpeg,
109,2786,1,sapl0173,2,SHREE ENGG INV 437 DTD 10.04.2014.jpg,806667.0,image/jpeg,
110,2785,1,sapl0173,2,HARSHAL INDUSTRIES INV 1690 DTD 16.03.2014.jpg,1052125.0,image/jpeg,
111,2784,1,sapl0173,2,SAIRAJ ENTERPRISES INV A 182 DTD 02.04.2014.jpg,1118162.0,image/jpeg,
113,2783,1,sapl0173,2,WADSON METALS INV 1506 DTD 29.03.2014 PAGE 01 OF 02.jpg,1249792.0,image/jpeg,
114,2783,1,sapl0173,2,WADSON METALS INV 1506 DTD 29.03.2014 PAGE 02 OF 02.jpg,853490.0,image/jpeg,
115,2782,1,sapl0173,2,MAULI UDYOG INV 80 DTD 25.03.2014.jpg,1024773.0,image/jpeg,
116,2781,1,sapl0173,2,LINKARS TRADING COMPANY INV 49 DTD 26.04.2014.jpg,1182918.0,image/jpeg,
117,2780,1,sapl0173,2,POOJA ENTERPRISES INV 238 DTD 29.04.2014.jpg,1225821.0,image/jpeg,
118,2778,1,sapl0173,2,SAKSHI ENTERPRISES INV 4001 DTD 01.04.2014.jpg,890282.0,image/jpeg,
120,2777,1,sapl0173,2,INDUSTRIAL TRADING COMPANY INV C 54 DTD 11.04.2014.jpg,724696.0,image/jpeg,
121,2776,1,sapl0173,2,LINKARS TRADING CO INV 51 DTD 29.04.2014.jpg,1159933.0,image/jpeg,
122,2775,1,sapl0173,2,DIAMOND ENGINEERING WORKS INV 640 DT D19.04.2014.jpg,2764469.0,image/jpeg,
