Id,SysDate,SysTime,CompId,FinYearId,SessionId,DeptId,AccId,Amount,BGId
166,2014-11-20,1:58:16 PM,1,2,Sapl0161,,,200000.0,3
167,2014-11-22,2:12:30 PM,1,2,Sapl0161,,,5000.0,8
168,2014-11-22,2:16:12 PM,1,2,Sapl0161,,,100000.0,8
169,2014-11-22,2:18:44 PM,1,2,Sapl0161,,,100000.0,8
170,2014-11-26,10:22:21 AM,1,2,Sapl0161,,,100000.0,8
171,2014-11-28,11:36:43 AM,1,2,Sapl0161,,,50000.0,11
172,2014-12-04,2:31:01 PM,1,2,Sapl0161,,,100000.0,11
173,2014-12-09,11:33:04 AM,1,2,Sapl0161,,,60000.0,8
174,2014-12-10,3:25:24 PM,1,2,Sapl0161,,,300000.0,4
175,2014-12-13,2:43:27 PM,1,2,sapl0161,,,50000.0,8
176,2014-12-16,1:45:13 PM,1,2,Sapl0161,,,200000.0,8
177,2014-12-16,2:02:08 PM,1,2,Sapl0161,,,500000.0,8
178,2014-12-16,2:18:06 PM,1,2,Sapl0161,,,500000.0,5
179,2014-12-16,3:53:26 PM,1,2,Sapl0161,,,500000.0,8
180,2014-12-20,10:02:17 AM,1,2,Sapl0161,,,500000.0,15
181,2014-12-22,12:47:08 PM,1,2,Sapl0161,,,100000.0,4
182,2014-12-22,12:50:11 PM,1,2,Sapl0161,,,50000.0,4
183,2014-12-22,4:36:43 PM,1,2,Sapl0161,,,500000.0,8
184,2014-12-24,11:36:51 AM,1,2,Sapl0161,,,500000.0,8
185,2014-12-24,3:07:36 PM,1,2,Sapl0161,,,180000.0,11
186,2014-12-26,12:27:29 PM,1,2,Sapl0161,,,200000.0,4
187,2014-12-29,2:13:07 PM,1,2,Sapl0161,,,50000.0,11
188,2014-12-29,2:38:45 PM,1,2,Sapl0161,,,500000.0,15
189,2015-01-01,12:21:42 PM,1,2,Sapl0161,,,222165.0,3
190,2015-01-01,12:21:53 PM,1,2,Sapl0161,,,55000.0,4
191,2015-01-01,12:22:10 PM,1,2,Sapl0161,,,20000.0,9
192,2015-01-01,12:22:36 PM,1,2,Sapl0161,,,25000.0,13
193,2015-01-01,12:24:43 PM,1,2,Sapl0161,,,20000.0,12
194,2015-01-01,12:33:34 PM,1,2,sapl0161,,,100000.0,8
195,2015-01-12,2:03:33 PM,1,2,Sapl0161,,,300000.0,11
196,2015-01-19,11:42:12 AM,1,2,Sapl0161,,,1500000.0,8
197,2015-01-19,11:43:18 AM,1,2,Sapl0161,,,500000.0,8
198,2015-01-19,3:56:38 PM,1,2,Sapl0161,,,100000.0,5
199,2015-01-31,3:37:44 PM,1,2,Sapl0005,,,1500000.0,8
200,2015-02-02,11:06:43 AM,1,2,Sapl0161,,,900000.0,8
201,2015-02-03,3:05:08 PM,1,2,Sapl0161,,,100000.0,13
202,2015-02-09,5:24:51 PM,1,2,sapl0161,,,27677.0,13
203,2015-02-09,5:25:21 PM,1,2,sapl0161,,,200000.0,15
204,2015-02-10,2:41:34 PM,1,2,sapl0161,,,100000.0,4
205,2015-02-11,4:24:22 PM,1,2,Sapl0013,,,20000.0,5
206,2015-02-12,12:00:57 PM,1,2,sapl0161,,,100000.0,4
207,2015-02-14,4:45:44 PM,1,2,Sapl0005,,,50000.0,8
208,2015-02-16,11:20:31 AM,1,2,Sapl0013,,,150000.0,5
209,2015-02-21,3:36:21 PM,1,2,Sapl0013,,,100000.0,9
211,2015-02-24,2:57:20 PM,1,2,Sapl0005,,,45000.0,13
212,2015-02-27,12:12:48 PM,1,2,Sapl0013,,,200000.0,8
213,2015-02-27,12:13:06 PM,1,2,Sapl0013,,,100000.0,8
214,2015-03-02,4:27:39 PM,1,2,Sapl0013,,,1000000.0,5
215,2015-03-13,11:45:27 AM,1,2,Sapl0005,,,10000.0,8
216,2015-03-18,3:37:46 PM,1,2,sapl0013,,,1500000.0,12
217,2015-03-27,11:03:24 AM,1,2,Sapl0005,,,50000.0,8
218,2015-03-27,1:00:00 PM,1,2,Sapl0005,,,6500000.0,7
219,2015-03-27,1:16:38 PM,1,2,Sapl0005,,,100000.0,7
220,2015-03-27,1:19:06 PM,1,2,sapl0013,,,20000.0,7
221,2015-03-27,1:20:44 PM,1,2,sapl0013,,,20000.0,7
222,2015-03-27,3:37:47 PM,1,2,Sapl0013,,,40000.0,4
223,2015-03-31,3:39:03 PM,1,2,Sapl0005,,,50000.0,8
224,2015-03-31,2:54:12 PM,1,2,sapl0005,,,26500.0,8
225,2015-03-31,12:45:43 PM,1,2,Sapl0013,,,20000.0,8
226,2015-03-31,2:06:20 PM,1,2,Sapl0013,,,135000.0,8
227,2015-03-31,10:31:28 AM,1,2,Sapl0013,,,500000.0,8
228,2015-05-19,10:49:36 AM,1,3,Sapl0013,,,15000.0,5
229,2015-05-19,10:50:35 AM,1,3,Sapl0013,,,600000.0,5
230,2015-06-08,3:38:52 PM,1,3,Sapl0013,,,500000.0,15
231,2015-06-09,9:40:16 AM,1,3,Sapl0013,,,5000.0,17
232,2015-06-09,2:13:25 PM,1,3,Sapl0013,,,30000.0,4
233,2015-06-09,2:15:25 PM,1,3,Sapl0013,,,50000.0,4
234,2015-06-16,12:01:02 PM,1,3,Sapl0013,,,100000.0,4
235,2015-06-23,2:40:04 PM,1,3,Sapl0005,,,50000.0,17
236,2015-06-23,2:50:46 PM,1,3,Sapl0005,,,10000.0,19
239,2015-06-24,5:40:54 PM,1,3,sapl0005,,,50000.0,8
240,2015-07-11,10:50:43 AM,1,3,Sapl0013,,,100000.0,8
241,2015-07-11,10:51:12 AM,1,3,Sapl0013,,,200000.0,8
242,2015-07-27,11:59:31 AM,1,3,Sapl0013,,,500000.0,5
243,2015-08-14,2:33:33 PM,1,3,Sapl0013,,,100000.0,19
244,2015-08-31,12:10:02 PM,1,3,sapl0005,,,50000.0,8
246,2015-08-31,2:19:09 PM,1,3,sapl0005,,,10000.0,8
247,2015-09-08,10:49:22 AM,1,3,Sapl0013,,,100000.0,8
248,2015-09-10,10:09:26 AM,1,3,Sapl0013,,,200000.0,8
249,2015-09-10,10:17:23 AM,1,3,Sapl0013,,,200000.0,8
250,2015-09-10,10:55:43 AM,1,3,Sapl0013,,,100000.0,15
251,2015-10-09,2:39:57 PM,1,3,Sapl0013,,,200000.0,19
252,2015-10-15,9:42:38 AM,1,3,Sapl0013,,,1500000.0,2
253,2015-10-26,9:21:58 AM,1,3,Sapl0013,,,500000.0,5
254,2015-10-26,10:13:31 AM,1,3,Sapl0013,,,500000.0,5
255,2015-10-31,5:51:21 PM,1,3,Sapl0005,,,100000.0,8
256,2015-11-01,5:28:35 PM,1,3,Sapl0013,,,30000.0,7
257,2015-11-01,5:32:16 PM,1,3,Sapl0013,,,30000.0,7
258,2015-11-20,11:49:35 AM,1,3,Sapl0013,,,1500000.0,7
259,2015-11-28,12:17:09 PM,1,3,Sapl0005,,,50000.0,10
260,2015-11-28,12:30:53 PM,1,3,Sapl0005,,,50000.0,8
261,2015-11-28,12:39:03 PM,1,3,Sapl0005,,,50000.0,8
262,2015-12-10,10:34:40 AM,1,3,Sapl0013,,,50000.0,11
263,2015-12-12,1:58:01 PM,1,3,Sapl0005,,,50000.0,8
264,2015-12-18,10:39:55 AM,1,3,sapl0013,,,100000.0,5
265,2015-12-21,11:19:25 AM,1,3,Sapl0005,,,7087500.0,2
266,2015-12-22,10:04:27 AM,1,3,Sapl0013,,,25000.0,4
267,2015-12-22,10:07:36 AM,1,3,Sapl0013,,,300000.0,8
268,2015-12-28,10:09:58 AM,1,3,Sapl0013,,,500000.0,5
269,2016-01-04,4:01:25 PM,1,3,Sapl0013,,,10000.0,2
270,2016-01-04,4:27:41 PM,1,3,sapl0013,,,6000.0,2
271,2016-01-13,11:04:13 AM,1,3,Sapl0005,,,70000.0,8
272,2016-01-16,11:31:22 AM,1,3,Sapl0013,,,25000.0,4
273,2016-01-20,9:34:42 AM,1,3,Sapl0013,,,200000.0,8
274,2016-01-20,11:17:17 AM,1,3,Sapl0013,,,200000.0,11
275,2016-01-20,12:49:41 PM,1,3,Sapl0005,,,200000.0,8
276,2016-01-20,12:59:25 PM,1,3,Sapl0005,,,100000.0,8
277,2016-02-04,1:49:11 PM,1,3,Sapl0005,,,30000.0,17
281,2016-02-05,9:40:56 AM,1,3,Sapl0005,,,794184.0,8
282,2016-02-05,1:57:44 PM,1,3,Sapl0013,,,250000.0,5
283,2016-02-05,1:58:13 PM,1,3,Sapl0013,,,500000.0,5
284,2016-02-08,10:52:26 AM,1,3,Sapl0013,,,25000.0,8
285,2016-02-08,10:53:32 AM,1,3,Sapl0013,,,500000.0,8
286,2016-02-09,3:16:56 PM,1,3,Sapl0013,,,500000.0,15
287,2016-02-15,3:58:09 PM,1,3,Sapl0005,,,402320.0,9
288,2016-02-17,2:44:07 PM,1,3,Sapl0005,,,400000.0,11
289,2016-02-19,10:06:33 AM,1,3,Sapl0005,,,3500.0,12
290,2016-02-23,9:49:02 AM,1,3,Sapl0005,,,13163.0,8
291,2016-02-23,9:49:21 AM,1,3,Sapl0005,,,300000.0,5
292,2016-02-23,9:55:17 AM,1,3,Sapl0013                           ,,,300000.0,5
293,2016-02-27,2:11:33 PM,1,3,Sapl0005,,,22671.0,7
294,2016-03-05,3:12:08 PM,1,3,Sapl0013,,,20000.0,5
295,2016-03-08,10:47:29 AM,1,3,Sapl0005,,,94620.0,4
296,2016-03-09,10:43:38 AM,1,3,Sapl0013,,,100000.0,5
297,2016-03-12,2:30:34 PM,1,3,Sapl0005,,,837.0,4
298,2016-03-16,10:52:35 AM,1,3,Sapl0013,,,200.0,4
299,2016-03-16,10:57:01 AM,1,3,Sapl0013,,,2000.0,4
300,2016-03-16,11:30:25 AM,1,3,Sapl0013,,,20000.0,4
301,2016-03-16,11:30:27 AM,1,3,Sapl0013,,,20000.0,4
302,2016-03-16,11:30:29 AM,1,3,Sapl0013,,,20000.0,4
