id,system,query_text,normalized_query,execution_time,request_path,timestamp,parameters,result_count,error_message,user_id
48,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/,2025-11-05 21:14:54.886380,{},,,1
49,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0,/,2025-11-05 21:14:54.895521,{},,,1
50,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0.001,/,2025-11-05 21:14:54.912527,{},,,1
51,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:15:08.390396' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/material-planning/plans/,2025-11-05 21:15:08.415982,{},,,1
52,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/material-planning/plans/,2025-11-05 21:15:08.428040,{},,,1
53,django,"SELECT COUNT(*) AS ""__count"" FROM ""tblMP_Material_Master"" WHERE (""tblMP_Material_Master"".""CompId"" = 1 AND ""tblMP_Material_Master"".""FinYearId"" <= 1)",,0,/material-planning/plans/,2025-11-05 21:15:08.440474,{},,,1
54,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""FinYearId"" = 13 ORDER BY ""tblFinancial_master"".""FinYearFrom"" DESC LIMIT 1",,0,/material-planning/plans/,2025-11-05 21:15:08.451483,{},,,1
55,django,"SELECT ""tblFinancial_master"".""FinYearId"", ""tblFinancial_master"".""SysDate"", ""tblFinancial_master"".""SysTime"", ""tblFinancial_master"".""SessionId"", ""tblFinancial_master"".""CompId"", ""tblFinancial_master"".""FinYearFrom"", ""tblFinancial_master"".""FinYearTo"", ""tblFinancial_master"".""FinYear"", ""tblFinancial_master"".""Flag"" FROM ""tblFinancial_master"" WHERE ""tblFinancial_master"".""CompId"" = 1 ORDER BY ""tblFinancial_master"".""FinYearId"" DESC",,0,/material-planning/plans/,2025-11-05 21:15:08.463366,{},,,1
56,django,"SELECT ""django_session"".""session_key"", ""django_session"".""session_data"", ""django_session"".""expire_date"" FROM ""django_session"" WHERE (""django_session"".""expire_date"" > '2025-11-05 21:17:33.821605' AND ""django_session"".""session_key"" = 'a3u4w5v22xfr4rjm4rvwdccwoap9s66g') LIMIT 21",,0,/projects/attendance/,2025-11-05 21:17:33.995644,{},,,1
57,django,"SELECT ""auth_user"".""id"", ""auth_user"".""password"", ""auth_user"".""last_login"", ""auth_user"".""is_superuser"", ""auth_user"".""username"", ""auth_user"".""first_name"", ""auth_user"".""last_name"", ""auth_user"".""email"", ""auth_user"".""is_staff"", ""auth_user"".""is_active"", ""auth_user"".""date_joined"" FROM ""auth_user"" WHERE ""auth_user"".""id"" = 1 LIMIT 21",,0,/projects/attendance/,2025-11-05 21:17:34.005839,{},,,1
