Id,GQNNo,GRRId,NormalAccQty,AcceptedQty,DeviatedQty,SegregatedQty,RejectedQty,RejectionReason,SN,PN,Remarks,MId
42256,0074,42467,150.0,150.0,0.0,0.0,0.0,0,,,,11881
42257,0075,42465,4.0,4.0,0.0,0.0,0.0,0,,,,11882
42258,0076,42464,239.8,239.8,0.0,0.0,0.0,0,,,,11883
42259,0077,42463,64.0,64.0,0.0,0.0,0.0,0,,,,11884
42260,0078,42462,39.9,39.9,0.0,0.0,0.0,0,,,,11885
42261,0079,42461,99.2,99.2,0.0,0.0,0.0,0,,,,11886
42262,0080,42460,496.0,496.0,0.0,0.0,0.0,0,,,,11887
42263,0081,42459,27.0,27.0,0.0,0.0,0.0,0,,,,11888
42264,0082,42457,4.0,4.0,0.0,0.0,0.0,0,,,,11889
42265,0082,42458,6.0,6.0,0.0,0.0,0.0,0,,,,11889
42266,0083,42456,1.0,1.0,0.0,0.0,0.0,0,,,,11890
42267,0084,42455,90.0,90.0,0.0,0.0,0.0,0,,,,11891
42268,0085,42453,1000.0,1000.0,0.0,0.0,0.0,0,,,,11892
42269,0085,42454,3000.0,3000.0,0.0,0.0,0.0,0,,,,11892
42270,0086,42451,2000.0,2000.0,0.0,0.0,0.0,0,,,,11893
42271,0086,42452,2000.0,2000.0,0.0,0.0,0.0,0,,,,11893
42272,0087,42450,48.0,48.0,0.0,0.0,0.0,0,,,,11894
42273,0088,42447,20.0,20.0,0.0,0.0,0.0,0,,,,11895
42274,0088,42448,26.0,26.0,0.0,0.0,0.0,0,,,,11895
42275,0088,42449,50.0,50.0,0.0,0.0,0.0,0,,,,11895
42276,0089,42608,150.0,150.0,0.0,0.0,0.0,0,,,,11896
42277,0090,42615,12.5,12.5,0.0,0.0,0.0,0,,,,11897
42278,0091,42617,150.0,150.0,0.0,0.0,0.0,0,,,,11898
42279,0092,42698,445.0,445.0,0.0,0.0,0.0,0,,,,11899
42280,0092,42699,1000.0,1000.0,0.0,0.0,0.0,0,,,,11899
42281,0093,42696,2570.0,2570.0,0.0,0.0,0.0,0,,,,11900
42282,0093,42697,1.0,1.0,0.0,0.0,0.0,0,,,,11900
42283,0094,42694,1.0,1.0,0.0,0.0,0.0,0,,,,11901
42284,0094,42695,9.0,9.0,0.0,0.0,0.0,0,,,,11901
42285,0095,42692,1.0,1.0,0.0,0.0,0.0,0,,,,11902
42286,0095,42693,1.0,1.0,0.0,0.0,0.0,0,,,,11902
42287,0096,42690,3.0,3.0,0.0,0.0,0.0,0,,,,11903
42288,0096,42691,4.0,4.0,0.0,0.0,0.0,0,,,,11903
42289,0097,42687,1.0,1.0,0.0,0.0,0.0,0,,,,11904
42290,0097,42688,30.0,30.0,0.0,0.0,0.0,0,,,,11904
42291,0097,42689,10.0,10.0,0.0,0.0,0.0,0,,,,11904
42292,0098,42686,250.0,250.0,0.0,0.0,0.0,0,,,,11905
42293,0099,42683,2.0,2.0,0.0,0.0,0.0,0,,,,11906
42294,0099,42684,2.0,2.0,0.0,0.0,0.0,0,,,,11906
42295,0099,42685,160.0,160.0,0.0,0.0,0.0,0,,,,11906
42296,0100,42682,1.0,1.0,0.0,0.0,0.0,0,,,,11907
42297,0101,42681,1.0,1.0,0.0,0.0,0.0,0,,,,11908
42298,0102,42680,1500.0,1500.0,0.0,0.0,0.0,0,,,,11909
42299,0103,42679,500.0,500.0,0.0,0.0,0.0,0,,,,11910
42300,0104,42677,2.0,2.0,0.0,0.0,0.0,0,,,,11911
42301,0104,42678,1.0,1.0,0.0,0.0,0.0,0,,,,11911
42302,0105,42676,6.1,6.1,0.0,0.0,0.0,0,,,,11912
42303,0106,42675,1.0,1.0,0.0,0.0,0.0,0,,,,11913
42304,0107,42673,9.0,9.0,0.0,0.0,0.0,0,,,,11914
42305,0107,42674,18.0,18.0,0.0,0.0,0.0,0,,,,11914
42306,0108,42671,4.0,4.0,0.0,0.0,0.0,0,,,,11915
42307,0108,42672,20.0,20.0,0.0,0.0,0.0,0,,,,11915
42308,0109,42657,784.0,784.0,0.0,0.0,0.0,0,,,,11916
42309,0109,42658,60.0,60.0,0.0,0.0,0.0,0,,,,11916
42310,0109,42659,156.0,156.0,0.0,0.0,0.0,0,,,,11916
42311,0109,42660,34.0,34.0,0.0,0.0,0.0,0,,,,11916
42312,0109,42661,328.0,328.0,0.0,0.0,0.0,0,,,,11916
42313,0109,42662,886.0,886.0,0.0,0.0,0.0,0,,,,11916
42314,0109,42663,328.0,328.0,0.0,0.0,0.0,0,,,,11916
42315,0109,42664,156.0,156.0,0.0,0.0,0.0,0,,,,11916
42316,0109,42665,528.0,528.0,0.0,0.0,0.0,0,,,,11916
42317,0109,42666,102.0,102.0,0.0,0.0,0.0,0,,,,11916
42318,0109,42667,120.0,120.0,0.0,0.0,0.0,0,,,,11916
42319,0109,42668,673.0,673.0,0.0,0.0,0.0,0,,,,11916
42320,0109,42669,34.0,34.0,0.0,0.0,0.0,0,,,,11916
42321,0109,42670,673.0,673.0,0.0,0.0,0.0,0,,,,11916
42322,0110,42655,1.0,1.0,0.0,0.0,0.0,0,,,,11917
42323,0110,42656,1.0,1.0,0.0,0.0,0.0,0,,,,11917
42324,0111,42652,1.0,1.0,0.0,0.0,0.0,0,,,,11918
42325,0111,42653,1.0,1.0,0.0,0.0,0.0,0,,,,11918
42326,0111,42654,1.0,1.0,0.0,0.0,0.0,0,,,,11918
42327,0112,42650,1.0,1.0,0.0,0.0,0.0,0,,,,11919
42328,0112,42651,1.0,1.0,0.0,0.0,0.0,0,,,,11919
42329,0113,42649,4.0,4.0,0.0,0.0,0.0,0,,,,11920
42330,0114,42646,1.0,1.0,0.0,0.0,0.0,0,,,,11921
42331,0114,42647,1.0,1.0,0.0,0.0,0.0,0,,,,11921
42332,0114,42648,2.0,2.0,0.0,0.0,0.0,0,,,,11921
42333,0115,42645,1500.0,1500.0,0.0,0.0,0.0,0,,,,11922
42334,0116,42641,1.0,1.0,0.0,0.0,0.0,0,,,,11923
42335,0116,42642,1.0,1.0,0.0,0.0,0.0,0,,,,11923
42336,0116,42643,40.0,40.0,0.0,0.0,0.0,0,,,,11923
42337,0116,42644,1.0,1.0,0.0,0.0,0.0,0,,,,11923
42338,0117,42639,1.0,1.0,0.0,0.0,0.0,0,,,,11924
42339,0117,42640,5.0,5.0,0.0,0.0,0.0,0,,,,11924
42340,0118,42637,1.85,1.85,0.0,0.0,0.0,0,,,,11925
42341,0118,42638,4.0,4.0,0.0,0.0,0.0,0,,,,11925
42342,0119,42636,1.0,1.0,0.0,0.0,0.0,0,,,,11926
42343,0120,42635,513.0,513.0,0.0,0.0,0.0,0,,,,11927
42344,0121,42634,250.0,250.0,0.0,0.0,0.0,0,,,,11928
42345,0122,42633,2.0,2.0,0.0,0.0,0.0,0,,,,11929
42346,0123,42632,90.0,90.0,0.0,0.0,0.0,0,,,,11930
42347,0124,42631,77.0,77.0,0.0,0.0,0.0,0,,,,11931
42348,0125,42630,10.0,10.0,0.0,0.0,0.0,0,,,,11932
42349,0126,42618,4.0,4.0,0.0,0.0,0.0,0,,,,11933
42350,0126,42619,6.0,6.0,0.0,0.0,0.0,0,,,,11933
