Id,MId,GRRNo,POId,ReceivedQty
32983,9171,0063,43597,4.0
32984,9172,0064,43598,2.0
32985,9172,0064,43599,1.0
32986,9172,0064,43600,1.0
32987,9172,0064,43601,1.0
32988,9172,0064,43602,1.0
32989,9172,0064,43603,1.0
32990,9172,0064,43604,5.0
32991,9172,0064,43605,2.0
32992,9172,0064,43606,1.0
32993,9172,0064,43607,1.0
32994,9172,0064,43608,1.0
32995,9172,0064,43609,1.0
32996,9172,0064,43610,1.0
32997,9172,0064,43611,1.0
32998,9172,0064,43612,1.0
32999,9172,0064,43613,1.0
33000,9173,0065,43561,1.0
33001,9173,0065,43562,1.0
33002,9173,0065,43563,1.0
33003,9173,0065,43564,1.0
33004,9173,0065,43565,1.0
33005,9173,0065,43566,1.0
33006,9173,0065,43567,1.0
33007,9173,0065,43568,2.0
33008,9174,0066,43614,1.0
33009,9174,0066,43615,1.0
33010,9174,0066,43616,1.0
33011,9174,0066,43617,1.0
33012,9174,0066,43618,1.0
33013,9174,0066,43619,1.0
33014,9174,0066,43620,1.0
33015,9174,0066,43621,1.0
33016,9175,0067,43495,2.0
33017,9175,0067,43496,2.0
33018,9175,0067,43497,2.0
33019,9175,0067,43498,1.0
33020,9175,0067,43499,2.0
33021,9175,0067,43500,5.0
33022,9175,0067,43501,1.0
33023,9175,0067,43502,2.0
33024,9175,0067,43503,2.0
33025,9175,0067,43504,2.0
33026,9175,0067,43505,1.0
33027,9175,0067,43506,1.0
33028,9175,0067,43507,1.0
33029,9175,0067,43508,5.0
33030,9175,0067,43509,1.0
33031,9175,0067,43510,1.0
33032,9175,0067,43511,1.0
33033,9175,0067,43512,1.0
33034,9175,0067,43513,2.0
33035,9175,0067,43514,2.0
33036,9175,0067,43515,1.0
33037,9175,0067,43516,1.0
33038,9175,0067,43517,1.0
33039,9176,0068,43520,1000.0
33040,9176,0068,43521,1000.0
33041,9177,0069,43526,200.0
33042,9177,0069,43527,100.0
33043,9178,0070,43633,20.0
33044,9179,0071,43524,200.0
33045,9179,0071,43525,100.0
33046,9180,0072,43574,2.0
33047,9180,0072,43575,1.0
33048,9180,0072,43576,1.0
33049,9180,0072,43577,1.0
33050,9180,0072,43578,1.0
33051,9180,0072,43579,1.0
33052,9180,0072,43580,1.0
33053,9181,0073,43522,100.0
33054,9181,0073,43523,100.0
33055,9182,0074,43780,1.0
33056,9183,0075,43756,2.0
33057,9183,0075,43757,1.0
33058,9183,0075,43758,1.0
33059,9183,0075,43759,1.0
33060,9184,0076,43765,1.0
33061,9185,0077,43760,1.0
33062,9185,0077,43761,1.0
33063,9185,0077,43762,1.0
33064,9185,0077,43763,1.0
33065,9185,0077,43764,2.0
33066,9186,0078,43781,15.0
33067,9187,0079,43783,1.0
33068,9187,0079,43784,2.0
33069,9187,0079,43785,8.0
33070,9187,0079,43786,2.0
33071,9187,0079,43787,1.0
33072,9187,0079,43788,2.0
33073,9187,0079,43789,1.0
33074,9187,0079,43790,1.0
33075,9187,0079,43791,1.0
33076,9187,0079,43792,4.0
33077,9187,0079,43793,2.0
33078,9187,0079,43794,2.0
33079,9187,0079,43795,4.0
33080,9187,0079,43796,1.0
33081,9187,0079,43797,1.0
33082,9187,0079,43798,1.0
33083,9187,0079,43799,2.0
33084,9188,0080,43800,2.0
33085,9188,0080,43801,2.0
33086,9188,0080,43802,1.0
33087,9188,0080,43803,4.0
33088,9188,0080,43804,2.0
33089,9188,0080,43805,2.0
33090,9188,0080,43806,1.0
33091,9188,0080,43807,2.0
33092,9188,0080,43808,2.0
33093,9188,0080,43809,2.0
33094,9188,0080,43810,1.0
33095,9188,0080,43811,4.0
33096,9188,0080,43812,2.0
33097,9188,0080,43813,2.0
33098,9189,0081,43695,1.0
33099,9190,0082,43650,2.0
33100,9190,0082,43651,2.0
33101,9190,0082,43652,1.0
33102,9190,0082,43653,1.0
33103,9190,0082,43654,1.0
33104,9190,0082,43655,1.0
33105,9190,0082,43656,1.0
33106,9190,0082,43657,5.0
33107,9190,0082,43658,1.0
33108,9190,0082,43659,2.0
33109,9190,0082,43660,1.0
33110,9190,0082,43661,1.0
33111,9190,0082,43662,1.0
33112,9190,0082,43663,1.0
33113,9190,0082,43664,2.0
33114,9190,0082,43665,2.0
33115,9190,0082,43666,5.0
33116,9191,0083,43693,2.0
33117,9192,0084,43678,60.0
33118,9193,0085,43677,50.0
33119,9194,0086,43716,2.0
33120,9194,0086,43717,7.0
33121,9194,0086,43718,5.0
33122,9195,0087,43552,1.0
33123,9195,0087,43553,1.0
33124,9195,0087,43554,1.0
33125,9195,0087,43555,3.0
33126,9195,0087,43556,1.0
33127,9195,0087,43557,2.0
33128,9195,0087,43558,2.0
33129,9195,0087,43559,1.0
33130,9195,0087,43560,1.0
33131,9196,0088,43696,50.0
33132,9197,0089,38736,2.0
33133,9198,0090,43719,55.0
33134,9198,0090,43720,20.0
33135,9199,0091,43469,4.0
33136,9200,0092,43755,2.0
33137,9201,0093,43679,1.0
33138,9201,0093,43680,2.0
33139,9201,0093,43681,1.0
33140,9201,0093,43682,1.0
33141,9201,0093,43683,1.0
33142,9201,0093,43684,1.0
33143,9201,0093,43685,2.0
33144,9201,0093,43686,1.0
33145,9201,0093,43687,1.0
33146,9201,0093,43688,1.0
33147,9201,0093,43689,2.0
33148,9201,0093,43690,2.0
33149,9201,0093,43691,1.0
33150,9201,0093,43692,1.0
33151,9202,0094,43754,1.0
33152,9203,0095,43694,4.0
33153,9204,0096,43707,16.0
