Id,GINNo,GINId,POId,Qty,ReceivedQty,ACategoyId,ASubCategoyId
47141,1133,14351,54963,2.0,2.0,0,0
47142,1133,14351,54964,2.0,2.0,0,0
47143,1133,14351,54965,2.0,2.0,0,0
47144,1133,14351,54966,4.0,4.0,0,0
47145,1133,14351,54967,2.0,2.0,0,0
47146,1133,14351,54968,2.0,2.0,0,0
47147,1133,14351,54969,4.0,4.0,0,0
47148,1134,14352,54994,2.0,2.0,0,0
47149,1134,14352,54995,9.0,9.0,0,0
47150,1134,14352,54996,2.0,2.0,0,0
47151,1134,14352,54997,2.0,2.0,0,0
47152,1135,14353,55122,1.0,1.0,0,0
47153,1135,14353,55123,1.0,1.0,0,0
47154,1135,14353,55124,1.0,1.0,0,0
47155,1135,14353,55125,1.0,1.0,0,0
47156,1135,14353,55126,1.0,1.0,0,0
47157,1136,14354,55127,2.0,2.0,0,0
47158,1136,14354,55128,2.0,2.0,0,0
47159,1136,14354,55129,4.0,4.0,0,0
47160,1137,14355,55444,120.0,120.0,0,0
47161,1138,14356,55521,6.0,6.0,0,0
47162,1138,14356,55522,5.0,5.0,0,0
47163,1139,14357,55707,1.0,1.0,0,0
47164,1139,14357,55708,2.0,2.0,0,0
47165,1139,14357,55709,6.0,6.0,0,0
47166,1140,14358,54768,15.0,15.0,0,0
47167,1141,14359,55731,6.0,6.0,0,0
47168,1142,14360,53682,149.0,149.0,0,0
47169,1143,14361,53683,82.0,82.0,0,0
47170,1144,14362,53690,50.0,50.0,0,0
47171,1144,14362,53691,50.0,50.0,0,0
47172,1145,14363,55162,50.0,50.0,0,0
47173,1146,14364,55436,0.6,0.6,0,0
47174,1146,14364,55437,4.0,4.0,0,0
47175,1146,14364,55438,3.8,3.8,0,0
47176,1147,14365,54433,2.0,2.0,0,0
47177,1147,14365,54434,1.0,1.0,0,0
47178,1147,14365,54435,1.0,1.0,0,0
47179,1147,14365,54436,1.0,1.0,0,0
47180,1147,14365,54437,1.0,1.0,0,0
47181,1147,14365,54438,1.0,1.0,0,0
47182,1147,14365,54439,1.0,1.0,0,0
47183,1148,14366,55441,2.0,2.0,0,0
47184,1149,14367,53335,1.0,1.0,0,0
47185,1150,14368,55439,534.2,534.2,0,0
47186,1150,14368,55440,25.1,25.1,0,0
47187,1151,14369,55093,25.1,25.1,0,0
47188,1152,14370,55090,14.0,14.0,0,0
47189,1152,14370,55091,24.4,24.4,0,0
47190,1152,14370,55092,46.0,46.0,0,0
47191,1153,14371,55087,56.3,56.3,0,0
47192,1153,14371,55088,108.2,108.2,0,0
47193,1153,14371,55089,113.2,113.2,0,0
47194,1154,14372,55461,1.0,1.0,0,0
47195,1154,14372,55462,1.0,1.0,0,0
47196,1154,14372,55463,3.0,3.0,0,0
47197,1154,14372,55464,4.0,4.0,0,0
47198,1155,14373,55460,1.0,1.0,0,0
47199,1156,14374,55459,1.0,1.0,0,0
47200,1157,14375,55450,5.0,5.0,0,0
47201,1157,14375,55451,1.0,1.0,0,0
47202,1157,14375,55452,4.0,4.0,0,0
47203,1157,14375,55453,1.0,1.0,0,0
47204,1157,14375,55454,1.0,1.0,0,0
47205,1157,14375,55455,1.0,1.0,0,0
47206,1157,14375,55456,2.0,2.0,0,0
47207,1157,14375,55457,1.0,1.0,0,0
47208,1158,14376,55447,1.0,1.0,6,6
47209,1158,14376,55448,1.0,1.0,6,6
47210,1158,14376,55449,1.0,1.0,6,6
47211,1159,14377,55058,1.0,1.0,0,0
47212,1159,14377,55059,1.0,1.0,0,0
47213,1159,14377,55060,7.0,7.0,0,0
47214,1160,14378,55164,2.04,2.04,0,0
47215,1161,14379,55163,102.0,102.0,0,0
47216,1162,14380,55138,5.0,5.0,0,0
47217,1163,14381,55136,30.0,30.0,0,0
47218,1163,14381,55137,60.0,60.0,0,0
47219,1164,14382,55134,20.0,20.0,0,0
47220,1164,14382,55135,30.0,30.0,0,0
47221,1165,14383,55047,3.05,3.05,0,0
47222,1166,14384,55045,50.0,50.0,0,0
47223,1166,14384,55046,100.0,100.0,0,0
47224,1167,14385,55050,3.0,3.0,0,0
47225,1168,14386,55668,4.0,4.0,0,0
47226,1168,14386,55669,2.0,2.0,0,0
47227,1168,14386,55670,2.0,2.0,0,0
47228,1169,14387,55519,2.0,2.0,0,0
47229,1169,14387,55520,2.0,2.0,0,0
47230,1170,14388,55523,3.0,3.0,0,0
47231,1171,14389,55697,20.0,20.0,0,0
47232,1171,14389,55698,28.0,28.0,0,0
47233,1171,14389,55699,15.0,15.0,0,0
47234,1171,14389,55700,125.0,125.0,0,0
47235,1171,14389,55701,20.0,20.0,0,0
47236,1171,14389,55702,10.0,10.0,0,0
47237,1171,14389,55703,4.0,4.0,0,0
47238,1171,14389,55704,33.0,33.0,0,0
47239,1171,14389,55705,13.0,13.0,0,0
47240,1171,14389,55706,6.0,6.0,0,0
47241,1172,14390,55671,2.0,2.0,0,0
47242,1172,14390,55672,10.0,10.0,0,0
47243,1172,14390,55673,10.0,10.0,0,0
47244,1172,14390,55674,10.0,10.0,0,0
47245,1172,14390,55675,35.0,35.0,0,0
47246,1172,14390,55676,35.0,55.0,0,0
47247,1172,14390,55677,25.0,25.0,0,0
47248,1172,14390,55678,17.0,17.0,0,0
47249,1172,14390,55679,4.0,4.0,0,0
47250,1172,14390,55680,4.0,4.0,0,0
47251,1172,14390,55681,4.0,4.0,0,0
47252,1172,14390,55682,15.0,15.0,0,0
47253,1172,14390,55683,5.0,5.0,0,0
47254,1173,14391,55684,22.0,22.0,0,0
47255,1173,14391,55685,10.0,10.0,0,0
47256,1173,14391,55686,15.0,15.0,0,0
47257,1173,14391,55687,15.0,15.0,0,0
47258,1173,14391,55688,4.0,4.0,0,0
47259,1173,14391,55689,15.0,15.0,0,0
47260,1173,14391,55690,183.0,183.0,0,0
47261,1173,14391,55691,38.0,38.0,0,0
47262,1173,14391,55692,110.0,110.0,0,0
47263,1173,14391,55693,15.0,15.0,0,0
47264,1173,14391,55694,183.0,183.0,0,0
47265,1173,14391,55695,38.0,38.0,0,0
47266,1173,14391,55696,110.0,110.0,0,0
47267,1174,14392,55081,460.0,460.0,0,0
47268,1174,14392,55082,270.0,270.0,0,0
47269,1174,14392,55083,30.58,30.58,0,0
47270,1174,14392,55084,15.0,15.0,0,0
47271,1174,14392,55085,6.0,6.0,0,0
47272,1174,14392,55086,10.0,10.0,0,0
47273,1175,14393,55734,1.0,1.0,0,0
47274,1175,14393,55735,2.0,2.0,0,0
47275,1176,14394,55057,1.0,1.0,0,0
47276,1177,14395,55061,30.0,30.0,0,0
47277,1177,14395,55062,20.0,20.0,0,0
47278,1177,14395,55063,5.0,5.0,0,0
47279,1177,14395,55064,5.0,5.0,0,0
47280,1177,14395,55065,20.0,20.0,0,0
47281,1177,14395,55066,10.0,10.0,0,0
47282,1177,14395,55067,20.0,20.0,0,0
47283,1177,14395,55068,10.0,10.0,0,0
47284,1177,14395,55069,15.0,15.0,0,0
47285,1178,14396,55742,20.0,20.0,0,0
47286,1178,14396,55743,110.0,110.0,0,0
47287,1178,14396,55744,35.0,35.0,0,0
47288,1178,14396,55745,70.0,70.0,0,0
47289,1178,14396,55746,145.0,145.0,0,0
47290,1179,14397,55766,200.0,200.0,0,0
47291,1179,14397,55767,400.0,400.0,0,0
47292,1179,14397,55768,100.0,100.0,0,0
47293,1180,14398,55760,40.0,40.0,0,0
47294,1180,14398,55761,100.0,100.0,0,0
47295,1180,14398,55762,100.0,100.0,0,0
47296,1180,14398,55763,50.0,50.0,0,0
47297,1180,14398,55764,3.0,3.0,0,0
47298,1180,14398,55765,2.0,2.0,0,0
47299,1181,14399,55757,1.0,1.0,0,0
47300,1181,14399,55758,2.0,2.0,0,0
47301,1181,14399,55759,1.0,1.0,0,0
47302,1182,14400,55756,2.0,2.0,0,0
47303,1183,14401,55773,21.1,21.1,0,0
47304,1183,14401,55774,68.4,68.4,0,0
47305,1183,14401,55775,41.7,41.7,0,0
47306,1183,14401,55776,14.6,14.6,0,0
47307,1184,14402,55771,10.0,10.0,0,0
47308,1184,14402,55772,30.0,30.0,0,0
47309,1185,14403,55769,131.0,131.0,0,0
47310,1185,14403,55770,45.6,45.6,0,0
47311,1186,14404,55784,1.0,1.0,0,0
47312,1186,14404,55785,1.0,1.0,0,0
47313,1187,14405,55781,0.8,0.8,0,0
47314,1187,14405,55782,6.4,6.4,0,0
47315,1187,14405,55783,39.3,39.3,0,0
47316,1188,14406,55779,3.0,3.0,0,0
47317,1188,14406,55780,46.5,46.5,0,0
47318,1189,14407,55778,36.8,36.8,0,0
47319,1190,14408,55777,56.8,56.8,0,0
47320,1191,14409,55113,10.0,10.0,0,0
47321,1191,14409,55114,12.0,12.0,0,0
47322,1191,14409,55115,15.0,15.0,0,0
47323,1191,14409,55116,10.0,10.0,0,0
47324,1191,14409,55117,75.0,75.0,0,0
47325,1192,14410,55716,20.0,20.0,0,0
47326,1192,14410,55717,2.0,2.0,0,0
47327,1192,14410,55718,240.0,240.0,0,0
47328,1192,14410,55719,215.0,215.0,0,0
47329,1192,14410,55720,215.0,215.0,0,0
47330,1192,14410,55721,50.0,50.0,0,0
47331,1193,14411,55107,200.0,200.0,0,0
47332,1193,14411,55108,10.0,10.0,0,0
47333,1193,14411,55109,40.0,40.0,0,0
47334,1193,14411,55110,60.0,60.0,0,0
47335,1193,14411,55111,10.0,10.0,0,0
47336,1193,14411,55112,20.0,20.0,0,0
47337,1194,14412,55721,25.0,25.0,0,0
47338,1194,14412,55722,40.0,40.0,0,0
47339,1194,14412,55723,40.0,40.0,0,0
47340,1194,14412,55724,30.0,30.0,0,0
47341,1194,14412,55725,5.0,5.0,0,0
47342,1194,14412,55726,120.0,120.0,0,0
47343,1194,14412,55727,20.0,20.0,0,0
47344,1194,14412,55728,10.0,10.0,0,0
47345,1194,14412,55729,20.0,20.0,0,0
47346,1195,14413,55048,1.57,1.57,0,0
47347,1196,14414,55736,12.0,12.0,0,0
47348,1196,14414,55737,12.0,12.0,0,0
47349,1197,14415,55468,1.0,1.0,0,0
47350,1197,14415,55469,1.0,1.0,0,0
47351,1197,14415,55470,1.0,1.0,0,0
47352,1197,14415,55471,1.0,1.0,0,0
47353,1197,14415,55472,1.0,1.0,0,0
47354,1197,14415,55473,1.0,1.0,0,0
47355,1197,14415,55474,1.0,1.0,0,0
47356,1198,14416,55475,200.0,200.0,0,0
47357,1199,14417,54948,2.0,2.0,0,0
47358,1199,14417,54949,1.0,1.0,0,0
47359,1200,14418,55165,1.0,1.0,0,0
47360,1200,14418,55166,8.0,8.0,0,0
47361,1200,14418,55167,2.0,2.0,0,0
47362,1200,14418,55168,8.0,8.0,0,0
47363,1200,14418,55169,2.0,2.0,0,0
47364,1200,14418,55170,1.0,1.0,0,0
47365,1200,14418,55171,4.0,4.0,0,0
47366,1200,14418,55172,2.0,2.0,0,0
47367,1201,14419,54544,1.0,1.0,0,0
47368,1201,14419,54545,1.0,1.0,0,0
