Id,ItemId,SupplierId,Qty,Rate,Discount,DelDate,DMid
6158,64895,S241,25.0,1.0,0.0,2018-12-24,27099
6159,64896,S241,2.0,1.0,0.0,2018-12-24,27100
6160,64897,S241,10.0,1.0,0.0,2018-12-24,27101
6161,64898,S241,1.0,1.0,0.0,2018-12-24,27102
6162,64899,S241,2.0,1.0,0.0,2018-12-24,27103
6163,64900,S241,2.0,1.0,0.0,2018-12-24,27104
6164,64901,S241,2.0,1.0,0.0,2018-12-24,27105
6165,64902,S241,4.0,1.0,0.0,2018-12-24,27106
6166,64903,S241,3.0,1.0,0.0,2018-12-24,27107
6167,64904,S241,5.0,1.0,0.0,2018-12-24,27108
6168,64905,S241,1.0,1.0,0.0,2018-12-24,27109
6169,64906,S241,1.0,1.0,0.0,2018-12-24,27110
6170,64907,S241,2.0,1.0,0.0,2018-12-24,27111
6171,64908,S241,3.0,1.0,0.0,2018-12-24,27112
6172,64909,S241,2.0,1.0,0.0,2018-12-24,27113
6173,64910,S241,1.0,1.0,0.0,2018-12-24,27114
6174,64911,S241,1.0,1.0,0.0,2018-12-24,27115
6175,64914,S241,1.0,1.0,0.0,2018-12-25,27122
6176,64915,S241,1.0,1.0,0.0,2018-12-25,27123
6177,64916,S241,1.0,1.0,0.0,2018-12-25,27124
6178,64917,S241,1.0,1.0,0.0,2018-12-25,27125
6179,64918,S241,2.0,1.0,0.0,2018-12-25,27126
6180,64919,S241,1.0,1.0,0.0,2018-12-25,27127
6181,64920,S241,1.0,1.0,0.0,2018-12-25,27128
6182,64921,S241,1.0,1.0,0.0,2018-12-25,27129
6183,64922,S241,1.0,1.0,0.0,2018-12-25,27130
6184,64923,S241,1.0,1.0,0.0,2018-12-25,27131
6185,64924,S241,8.0,1.0,0.0,2018-12-25,27132
6186,64925,S241,1.0,1.0,0.0,2018-12-25,27133
6187,64926,S241,1.0,1.0,0.0,2018-12-25,27134
6188,64927,S241,1.0,1.0,0.0,2018-12-25,27135
6189,64930,S241,10.0,1.0,0.0,2018-12-25,27136
6190,64931,S241,2.0,1.0,0.0,2018-12-25,27137
6191,64932,S241,4.0,1.0,0.0,2018-12-25,27138
6192,64933,S241,2.0,1.0,0.0,2018-12-25,27139
6193,64934,S241,4.0,1.0,0.0,2018-12-25,27140
6194,64935,S241,3.0,1.0,0.0,2018-12-25,27141
6195,64936,S241,3.0,1.0,0.0,2018-12-25,27142
6196,64937,S241,5.0,1.0,0.0,2018-12-25,27143
6197,64938,S241,1.0,1.0,0.0,2018-12-25,27144
6198,64939,S241,1.0,1.0,0.0,2018-12-25,27145
6199,64940,S241,4.0,1.0,0.0,2018-12-25,27146
6200,64941,S241,4.0,1.0,0.0,2018-12-25,27147
6201,64942,S241,1.0,1.0,0.0,2018-12-25,27148
6202,64943,S241,1.0,1.0,0.0,2018-12-25,27149
6203,64944,S241,1.0,1.0,0.0,2018-12-25,27150
6204,64945,S241,1.0,1.0,0.0,2018-12-25,27151
6205,64946,S241,1.0,1.0,0.0,2018-12-25,27152
6206,64947,S241,1.0,1.0,0.0,2018-12-25,27153
6207,64948,S241,1.0,1.0,0.0,2018-12-25,27154
6208,64949,S241,1.0,1.0,0.0,2018-12-25,27155
6209,64950,S241,1.0,1.0,0.0,2018-12-25,27156
