id,ItemCode,Rate,Discount
38273,6791 017 00 0 0 001 0 0,5.00,0
38274,6791 017 00 0 0 001 0 0,10.00,0
38275,6791 017 00 0 0 002 0 0,5,0
38276,6791 017 00 0 0 002 0 0,6,0
38277,6791 017 00 0 0 002 0 0,5.00,0
38278,6791 017 00 0 0 002 0 0,10.00,0
38279,6791 017 00 0 0 003 0 0,5,0
38280,6791 017 00 0 0 003 0 0,6,0
38281,6791 017 00 0 0 003 0 0,5.00,0
38282,6791 017 00 0 0 003 0 0,10.00,0
38283,6791 017 00 0 0 004 0 0,5,0
38284,6791 017 00 0 0 004 0 0,6,0
38285,6791 017 00 0 0 004 0 0,5.00,0
38286,6791 017 00 0 0 004 0 0,10.00,0
38287,6791 017 00 0 0 005 0 0,5,0
38288,6791 017 00 0 0 005 0 0,6,0
38289,6791 017 00 0 0 005 0 0,5.00,0
38290,6791 017 00 0 0 005 0 0,10.00,0
38291,6791 017 00 0 0 006 0 0,5,0
38292,6791 017 00 0 0 006 0 0,6,0
38293,6791 017 00 0 0 006 0 0,5.00,0
38294,6791 017 00 0 0 006 0 0,10.00,0
38295,6791 017 00 0 0 007 0 0,5,0
38296,6791 017 00 0 0 007 0 0,6,0
38297,6791 017 00 0 0 007 0 0,5.00,0
38298,6791 017 00 0 0 007 0 0,10.00,0
38299,6791 017 00 0 0 008 0 0,5,0
38300,6791 017 00 0 0 008 0 0,6,0
38301,6791 017 00 0 0 008 0 0,5.00,0
38302,6791 017 00 0 0 008 0 0,10.00,0
38303,6791 017 00 0 0 009 0 0,5,0
38304,6791 017 00 0 0 009 0 0,6,0
38305,6791 017 00 0 0 009 0 0,5.00,0
38306,6791 017 00 0 0 009 0 0,10.00,0
38307,6791 017 00 0 0 010 0 0,5,0
38308,6791 017 00 0 0 010 0 0,6,0
38309,6791 017 00 0 0 010 0 0,5.00,0
38310,6791 017 00 0 0 010 0 0,10.00,0
38311,6791 017 00 0 0 011 0 0,5,0
38312,6791 017 00 0 0 011 0 0,6,0
38313,6791 017 00 0 0 011 0 0,5.00,0
38314,6791 017 00 0 0 011 0 0,10.00,0
38315,6791 017 00 0 0 012 0 0,5,0
38316,6791 017 00 0 0 012 0 0,6,0
38317,6791 017 00 0 0 012 0 0,5.00,0
38318,6791 017 00 0 0 012 0 0,10.00,0
38319,6791 017 00 0 0 013 0 0,5,0
38320,6791 017 00 0 0 013 0 0,6,0
38321,6791 017 00 0 0 013 0 0,5.00,0
38322,6791 017 00 0 0 014 0 0,5,0
38323,6791 017 00 0 0 014 0 0,6,0
38324,6791 017 00 0 0 014 0 0,5.00,0
38325,6791 017 00 0 0 015 0 0,5,0
38326,6791 017 00 0 0 015 0 0,6,0
38327,6791 017 00 0 0 015 0 0,5.00,0
38328,6791 017 00 0 0 016 0 0,5,0
38329,6791 017 00 0 0 016 0 0,6,0
38330,6791 017 00 0 0 016 0 0,5.00,0
38331,6791 017 00 0 0 017 0 0,5,0
38332,6791 017 00 0 0 017 0 0,6,0
38333,6791 017 00 0 0 017 0 0,5.00,0
38334,6791 017 00 0 0 018 0 0,5,0
38335,6791 017 00 0 0 018 0 0,6,0
38336,6791 017 00 0 0 018 0 0,5.00,0
38337,6791 017 00 0 0 019 0 0,5,0
38338,6791 017 00 0 0 019 0 0,6,0
38339,6791 017 00 0 0 019 0 0,5.00,0
38340,6791 017 00 0 0 020 0 0,5,0
38341,6791 017 00 0 0 020 0 0,6,0
38342,6791 017 00 0 0 020 0 0,5.00,0
