Id,ItemId,SupplierId,Qty,Rate,Discount,DelDate,DMid
6674,60353,V027,5.0,370.0,0.0,2018-05-08,25176
6675,60356,V027,2.0,320.0,0.0,2018-05-08,25178
6676,60367,S061,2.0,520.0,0.0,2018-05-09,25208
6677,60369,S061,1.0,395.0,0.0,2018-05-09,25210
6678,60371,S061,2.0,415.0,0.0,2018-05-09,25212
6679,60373,S061,1.0,320.0,0.0,2018-05-09,25214
6680,60383,S061,1.0,415.0,0.0,2018-05-11,25216
6681,60385,S061,5.0,380.0,0.0,2018-05-11,25218
6682,60386,S061,1.0,340.0,0.0,2018-05-11,25219
6683,60396,G021,1.0,1100.0,0.0,2018-05-14,25231
6684,60398,G021,1.0,1050.0,0.0,2018-05-14,25233
6685,60400,G021,2.0,700.0,0.0,2018-05-14,25235
6686,60402,G021,2.0,700.0,0.0,2018-05-14,25237
6687,60405,G021,1.0,210.0,0.0,2018-05-14,25239
6688,60407,G021,1.0,370.0,0.0,2018-05-14,25241
6689,60409,G021,1.0,210.0,0.0,2018-05-14,25243
6690,60411,G021,2.0,510.0,0.0,2018-05-14,25245
6691,60413,G021,1.0,720.0,0.0,2018-05-14,25247
6692,60415,G021,1.0,320.0,0.0,2018-05-14,25249
6693,60417,G021,1.0,780.0,0.0,2018-05-14,25251
6694,60419,G021,2.0,780.0,0.0,2018-05-14,25253
6695,60421,G021,1.0,780.0,0.0,2018-05-14,25255
6696,60423,G021,1.0,780.0,0.0,2018-05-14,25257
6697,60425,G021,1.0,510.0,0.0,2018-05-14,25259
6698,60427,G021,1.0,640.0,0.0,2018-05-14,25261
6699,60429,G021,2.0,580.0,0.0,2018-05-14,25263
6700,60431,G021,1.0,340.0,0.0,2018-05-14,25265
6701,60433,G021,1.0,340.0,0.0,2018-05-14,25267
6702,60435,G021,1.0,590.0,0.0,2018-05-14,25269
6703,60437,G021,1.0,1100.0,0.0,2018-05-14,25271
6704,60439,G021,2.0,620.0,0.0,2018-05-15,25273
