Id,PODId,GQNId,GSNId,ItemId,DebitType,DebitValue,PFAmt,ExStBasicInPer,ExStEducessInPer,ExStShecessInPer,ExStBasic,ExStEducess,ExStShecess,CustomDuty,VAT,CST,Freight,TarrifNo,BCDOpt,BCD,BCDValue,ValueForCVD,ValueForEdCessCD,EdCessOnCDOpt,EdCessOnCD,EdCessOnCDValue,SHEDCessOpt,SHEDCess,SHEDCessValue,TotDuty,TotDutyEDSHED,Insurance,ValueWithDuty,MId
32428,43355,32651,0,6318,0,0.0,0.0,9.0,0.0,0.0,0.81,0.0,0.0,0.0,0.88,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32429,43356,32652,0,55542,0,0.0,0.0,9.0,0.0,0.0,2.84,0.0,0.0,0.0,3.09,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32430,43357,32653,0,875,0,0.0,0.0,9.0,0.0,0.0,6.75,0.0,0.0,0.0,7.36,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32431,43358,32654,0,6992,0,0.0,0.0,9.0,0.0,0.0,80.64,0.0,0.0,0.0,87.9,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32432,43359,32655,0,7007,0,0.0,0.0,9.0,0.0,0.0,24.3,0.0,0.0,0.0,26.49,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32433,43360,32656,0,7020,0,0.0,0.0,9.0,0.0,0.0,451.53,0.0,0.0,0.0,492.17,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32434,43361,32657,0,7021,0,0.0,0.0,9.0,0.0,0.0,118.58,0.0,0.0,0.0,129.25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32435,43362,32658,0,7023,0,0.0,0.0,9.0,0.0,0.0,14.67,0.0,0.0,0.0,15.99,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32436,43363,32659,0,7043,0,0.0,0.0,9.0,0.0,0.0,707.94,0.0,0.0,0.0,771.65,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8074
32437,43370,32660,0,5523,0,0.0,0.0,9.0,0.0,0.0,10.8,0.0,0.0,0.0,11.77,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32438,43371,32661,0,5555,0,0.0,0.0,9.0,0.0,0.0,2.16,0.0,0.0,0.0,2.35,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32439,43372,32662,0,5598,0,0.0,0.0,9.0,0.0,0.0,10.08,0.0,0.0,0.0,10.99,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32440,43373,32663,0,5600,0,0.0,0.0,9.0,0.0,0.0,14.62,0.0,0.0,0.0,15.94,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32441,43374,32664,0,5647,0,0.0,0.0,9.0,0.0,0.0,16.56,0.0,0.0,0.0,18.05,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32442,43375,32665,0,5721,0,0.0,0.0,9.0,0.0,0.0,258.48,0.0,0.0,0.0,281.74,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32443,43376,32666,0,5722,0,0.0,0.0,9.0,0.0,0.0,38.25,0.0,0.0,0.0,41.69,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32444,43377,32667,0,7138,0,0.0,0.0,9.0,0.0,0.0,151.2,0.0,0.0,0.0,164.81,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32445,43378,32668,0,7500,0,0.0,0.0,9.0,0.0,0.0,129.6,0.0,0.0,0.0,141.26,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
32446,43379,32669,0,7630,0,0.0,0.0,9.0,0.0,0.0,1.17,0.0,0.0,0.0,1.28,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8075
