Id,CompId,FinYearId,WONo,ReleaseSysDate,ReleaseSysTime,ReleaseBy
162,1,2,S0057,2014-06-21,12:46:04 PM,Sapl0061
163,1,2,T0016,2014-07-28,11:08:01 AM,Sapl0061
164,1,2,N0080,2014-08-07,2:25:34 PM,Sapl0053
165,1,2,N0074,2014-09-25,3:25:58 PM,Sapl0053
166,1,2,N0078,2014-09-25,3:26:08 PM,Sapl0053
167,1,2,N0079,2014-09-25,3:26:15 PM,Sapl0053
168,1,2,S0075,2014-09-27,11:09:17 AM,Sapl0053
169,1,2,N0085,2014-11-03,2:32:17 PM,Sapl0053
170,1,2,N0083,2014-11-11,9:54:36 AM,Sapl0053
171,1,2,N0084,2014-11-11,9:54:48 AM,Sapl0053
172,1,2,P0032,2014-12-02,2:55:48 PM,sapl0013
173,1,2,N0087,2014-12-06,2:09:10 PM,Sapl0053
174,1,2,S0082,2014-12-29,4:22:10 PM,Sapl0053
175,1,2,S0083,2015-01-19,5:43:49 PM,Sapl0053
176,1,2,S0084,2015-01-24,2:12:22 PM,Sapl0053
177,1,2,T0018,2015-01-27,2:57:34 PM,Sapl0053
178,1,2,S0086,2015-01-30,10:21:21 AM,sapl0053
179,1,2,S0087,2015-01-31,6:16:54 PM,Sapl0172
180,1,2,P0033,2015-02-14,4:16:12 PM,Sapl0172
181,1,2,S0089,2015-02-16,1:52:44 PM,Sapl0053
182,1,2,S0090,2015-02-16,1:52:50 PM,Sapl0053
183,1,2,N0099,2015-03-20,3:28:29 PM,sapl0053
184,1,2,N0100,2015-03-20,3:28:37 PM,sapl0053
185,1,3,N0093,2015-06-01,9:49:39 AM,sapl0053
186,1,3,N0094,2015-06-01,9:50:10 AM,sapl0053
187,1,3,N0095,2015-06-01,9:50:16 AM,sapl0053
188,1,3,N0096,2015-06-01,9:50:21 AM,sapl0053
189,1,3,N0097,2015-06-01,9:50:25 AM,sapl0053
190,1,3,T0020,2015-06-05,10:58:53 AM,sapl0053
191,1,3,T0019,2015-06-08,3:02:22 PM,sapl0053
192,1,3,N0104,2015-06-15,10:12:51 AM,sapl0053
193,1,3,N0093,2015-06-15,10:13:40 AM,sapl0053
194,1,3,N0094,2015-06-15,10:13:57 AM,sapl0053
195,1,3,N0095,2015-06-15,10:14:03 AM,sapl0053
196,1,3,N0096,2015-06-15,10:14:09 AM,sapl0053
197,1,3,N0097,2015-06-15,10:15:41 AM,sapl0053
198,1,3,N0099,2015-06-15,10:15:47 AM,sapl0053
199,1,3,N0100,2015-06-15,10:15:52 AM,sapl0053
200,1,3,N0104,2015-06-15,10:33:17 AM,sapl0053
201,1,3,N0102,2015-06-23,2:53:50 PM,sapl0053
202,1,3,N0108,2015-06-26,12:31:32 PM,sapl0053
203,1,3,N0109,2015-07-13,2:07:28 PM,sapl0053
204,1,3,N0105,2015-07-14,4:46:28 PM,Sapl0053
205,1,3,P0035,2015-07-21,10:50:23 AM,Sapl0053
206,1,3,N0103,2015-07-24,6:04:05 PM,Sapl0053
207,1,3,S0099,2015-07-28,12:55:01 PM,Sapl0053
208,1,3,S0092,2015-07-28,1:50:16 PM,Sapl0053
209,1,3,S0100,2015-07-28,2:49:11 PM,Sapl0053
210,1,3,J0070,2015-08-27,11:57:17 AM,Sapl0053
211,1,3,S0103,2015-08-27,12:10:07 PM,Sapl0053
212,1,3,J0070,2015-08-28,10:20:35 AM,Sapl0053
213,1,3,N0112,2015-10-02,5:01:10 PM,sapl0172
214,1,3,N0111,2015-11-19,4:24:14 PM,sapl0053
215,1,3,T0021,2015-12-08,11:29:48 AM,sapl0053
216,1,3,J0074,2015-12-24,9:33:48 AM,sapl0053
217,1,3,J0075,2015-12-24,9:33:51 AM,sapl0053
218,1,3,J0074,2015-12-24,10:28:43 AM,Sapl0013
219,1,3,J0075,2015-12-24,10:28:45 AM,Sapl0013
220,1,3,N0123,2016-01-07,1:48:44 PM,sapl0053
221,1,3,J0076,2016-01-12,12:17:16 PM,sapl0053
222,1,3,N0121,2016-01-12,12:17:34 PM,sapl0053
223,1,3,N0124,2016-01-12,12:17:48 PM,sapl0053
224,1,3,N0125,2016-01-12,12:17:53 PM,sapl0053
225,1,3,N0126,2016-01-12,12:17:59 PM,sapl0053
226,1,3,T0022,2016-01-12,12:18:24 PM,sapl0053
227,1,3,N0127,2016-03-05,5:22:32 PM,sapl0053
228,1,4,N0128,2016-05-16,12:51:57 PM,Sapl0053
