No,DCNo,ItemCode,Description,HSN,Quantity,Rate,Amount,UOM
4268,2802,,SQ.NUT,,96,1.0,96.0,KGS
4269,2802,,BEARING PIN DAI 25,,25,1.0,25.0,KGS
4270,2803,00895-05-12,ROUND PIN (20 MNCR5) HRC 45-50,0,2,1.0,2.0,NOS
4271,2803,00895-05-11,ROUND PIN (20 MNCR5) HRC 50-55,,2,1.0,2.0,NOS
4272,2803,00894-07-11,ROUND PIN (20 MNCR5) HRC 40-50,,2,1.0,2.0,NOS
4273,2804,00896-16-71,,0,1,1.0,1.0,NOS
4274,2804,00896-15-71,,,1,1.0,1.0,NOS
4275,2804,00895-15-61,,,1,1.0,1.0,NOS
4276,2804,00895-16-61,,,1,1.0,1.0,NOS
4277,2804,00895-16-36,,,1,1.0,1.0,NOS
4278,2804,00895-15-36,,,1,1.0,1.0,NOS
4279,2804,00895-16-44,,,1,1.0,1.0,NOS
4280,2804,00895-15-44,,,1,1.0,1.0,NOS
4281,2804,00895-03-07,,,1,1.0,1.0,NOS
4282,2804,00895-04-07,,,1,1.0,1.0,NOS
4283,2804,00894-09-03,,,1,1.0,1.0,NOS
4284,2804,00894-10-03,,,1,1.0,1.0,NOS
4285,2804,00895-16-03,,,1,1.0,1.0,NOS
4286,2804,00895-15-03,,,1,1.0,1.0,NOS
4287,2804,00895-09-03,,,1,1.0,1.0,NOS
4288,2804,00895-10-03,,,1,1.0,1.0,NOS
4289,2805,GS 2110-WTBD-N,MITSUBISHI MAKE HMI ,0,1,1.0,1.0,NOS
4290,2805,,FERUL TUBE 3.2 MM,,5,1.0,5.0,MTR
4291,2805,,NAYLOCK NUT M6,,25,1.0,25.0,NOS
4292,2805,,NAYLOCK NUT M8,,25,1.0,25.0,NOS
4293,2806,,MS PIPE OD33 X ID25 (12 MTR ),0,2,1.0,2.0,NOS
4294,2807,00895-13-42,C45 HRC 40-45,0,2,1.0,2.0,NOS
4295,2807,00895-11-41,C45 HRC 40-45,,2,1.0,2.0,NOS
4296,2807,00895-11-43,C45 HRC 40-45,,2,1.0,2.0,NOS
4297,2807,00895-13-37,C45 HRC 40-45,,2,1.0,2.0,NOS
4298,2807,00895-13-36,C45 HRC 40-45,,2,1.0,2.0,NOS
4299,2807,00895-13-41,C45 HRC 40-45,,2,1.0,2.0,NOS
4300,2807,00894-09-42,C45 HRC 40-45,,2,1.0,2.0,NOS
4301,2807,00894-09-41,C45 HRC 40-45,,2,1.0,2.0,NOS
4302,2807,00895-15-38,C45 HRC 40-45,,2,1.0,2.0,NOS
4314,2808,K031-020-070,PIN RETAINER,0,12,1.0,12.0,NOS
4315,2808,00894-51-10,SQ PLATE,,8,1.0,8.0,NOS
4316,2808,00894-07-61,MYLER,,1,1.0,1.0,NOS
4317,2808,00894-08-61,MYLER,,1,1.0,1.0,NOS
4318,2808,00894-09-49,L BKT,,1,1.0,1.0,NOS
4319,2808,00894-10-49,L BKT,,1,1.0,1.0,NOS
4320,2808,00894-13-75,Z BKT,,2,1.0,2.0,NOS
4321,2808,00895-04-61,Z BKT,,1,1.0,1.0,NOS
4322,2808,00895-03-61,Z BKT,,1,1.0,1.0,NOS
4323,2808,00894-06-53,I MYLER,,1,1.0,1.0,NOS
4324,2808,00894-05-53,I MYLER,,1,1.0,1.0,NOS
4325,2808,00894-06-56,BKT,,1,1.0,1.0,NOS
4326,2808,00894-05-56,BKT,,1,1.0,1.0,NOS
4327,2808,00890-17-08,SQ PLATE,,6,1.0,6.0,NOS
4328,2808,00890-09-06,FRAME,,4,1.0,4.0,NOS
4329,2808,00890-31-26,FRAME,,4,1.0,4.0,NOS
4330,2809,00890-31-27,,0,2,1.0,2.0,NOS
4331,2809,00890-11-05,BASE PLATE,,4,1.0,4.0,NOS
4332,2809,00890-31-16,CONECTING ROAD,,2,1.0,2.0,NOS
4333,2810,00894-05-42,C45 HRC 40-45,0,2,1.0,2.0,NOS
4334,2810,00895-12-38,C45 HRC 40-45,,1,1.0,1.0,NOS
4335,2810,00895-12-36,C45 HRC 40-45,,1,1.0,1.0,NOS
4336,2810,00895-11-38,C45 HRC 40-45,,1,1.0,1.0,NOS
4337,2810,00895-11-36,C45 HRC 40-45,,1,1.0,1.0,NOS
4338,2810,00895-11-39,C45 HRC 40-45,,1,1.0,1.0,NOS
4339,2810,00895-12-39,C45 HRC 40-45,,1,1.0,1.0,NOS
4340,2810,00895-12-37,C45 HRC 40-45,,2,1.0,2.0,NOS
4341,2810,00895-07-41,C45 HRC 40-45,,1,1.0,1.0,NOS
4342,2810,00895-80-41,C45 HRC 40-45,,1,1.0,1.0,NOS
4343,2810,00894-51-05,C45 HRC 40-45,,1,1.0,1.0,NOS
4344,2811,00890-23-16,(20 MNCR5) HRC 40-45,0,4,1.0,4.0,NOS
4345,2811,00890-03-15,(20 MNCR5) HRC 40-45,,24,1.0,24.0,NOS
4346,2811,00890-21-10,(20 MNCR5) HRC 40-45,,8,1.0,8.0,NOS
4347,2811,00894-51-05,(20 MNCR5) HRC 40-45,,8,1.0,8.0,NOS
4348,2812,00890-31-05 (R1),CAM,0,20,1.0,20.0,NOS
4349,2813,,MS JOB,0,6,1.0,6.0,NOS
4352,2814,,SHOLDER WASHER,0,0,0.0,0.0,NOS
4353,2814,,BEARING PIN DAI 25,,0,0.0,0.0,NOS
4354,2814,,PIN DAI 16,,25,1.0,25.0,KGS
4355,2815,,SIDE TROLLY,0,34,1.0,34.0,NOS
4356,2815,,SIDE TROLLY (JET WORK TO BALU MAMA ENTERPRISES),,8,1.0,8.0,NOS
4357,2816,,GSM 37 ,0,10,1.0,10.0,NOS
4358,2817,,BEARING PIN DAI 25,0,55,1.0,55.0,NOS
4359,2817,,SIDE TROLLY,,37,1.0,37.0,NOS
4360,2818,,LOAD TROLLY,0,1,1.0,1.0,NOS
4361,2819,00890-21-09,ROD DAI 25*615 (EN 36) HRC 35-40,0,8,1.0,8.0,NOS
