No,DCNo,ItemCode,Description,HSN,Quantity,Rate,Amount,UOM
1612,2138,,EXTENSION BORD,0,1,1.0,1.0,MTR
1613,2138,,LEVEL TUBES,0,1,1.0,1.0,MTR
1614,2138,,5 MTR TAPE,0,1,1.0,1.0,NOS
1615,2138,,CONNECTOR 10X8,0,2,1.0,2.0,NOS
1616,2138,,CONNECTOR 6X8,0,2,1.0,2.0,NOS
1617,2138,,CHAIN 1.2'',0,6,1.0,6.0,MTR
1618,2138,,CUTTING WHEEL,0,2,1.0,2.0,MTR
1619,2138,,GRANDING WHEEL,0,4,1.0,4.0,NOS
1620,2138,,PIN TYPE FASTNER 16X100,0,20,1.0,20.0,NOS
1621,2138,,TAPPING OIL,0,1,1.0,1.0,NOS
1622,2138,,HAND GLOVES,0,10,1.0,10.0,NOS
1623,2138,,TOOL BOX ,0,1,1.0,1.0,NOS
1624,2139,-,BALL SCREW,0,2,1.0,2.0,NOS
1625,2140,N80CONVCYLHEAD,"GRAVITY ROLLER CONVEYOR 58mm DIA (220X2)625mm WIDTH,WITH SUITABLE COATED ROLLERS 75mm PITCH,STRUCTURE,STOPPERS",0,20,1.0,20.0,NOS
1626,2141,-,BAUMER SENSOR M30,0,2,1.0,2.0,NOS
1627,2142,-,DRAM EMPTY,0,2,20.0,40.0,NOS
1628,2143,-,FLAT 100X6X3000mm,0,26,1.0,26.0,NOS
1629,2144,-,FLAT 100X6X270mm,0,160,1.0,160.0,NOS
1630,2144,-,FLAT 32X16X548mm,0,120,1.0,120.0,NOS
1631,2144,-,FLAT 32X16X394mm,0,160,1.0,160.0,NOS
1632,2145,687-07-36,,0,2,1.0,2.0,NOS
1633,2145,831-15-48,,0,1,1.0,1.0,NOS
1634,2145,832-11-56,,0,1,1.0,1.0,NOS
1635,2145,832-09-56,,0,2,1.0,2.0,NOS
1636,2145,829-07-52,,0,3,1.0,3.0,NOS
1637,2145,823-20-50,,0,3,1.0,3.0,NOS
1638,2145,828-07-37,,0,1,1.0,1.0,NOS
1639,2145,828-05-55,,0,3,1.0,3.0,NOS
1640,2145,830-05-55,,0,3,1.0,3.0,NOS
1641,2146,-,VMC TELESCOPEIC COVER,0,2,1.0,2.0,NOS
1642,2147,-,SPANNER 12-13,0,2,1.0,2.0,NOS
1643,2147,,SPANNER SET,0,1,1.0,1.0,SET
1644,2147,,ALLEN KAY SET,0,1,1.0,1.0,SET
1645,2148,-,DRILLING MACHINE,0,1,1.0,1.0,NOS
1646,2149,00831-09-49,L BKT,0,3,1.0,3.0,NOS
1647,2149,00831-11-56,L BKT,0,3,1.0,3.0,NOS
1648,2149,00831-15-48,L BKT,0,1,1.0,1.0,NOS
1649,2150,00831-09-13,DIAMOND PIN WITH THREDING,0,3,1.0,3.0,NOS
1650,2151,-,SPANNER SET,0,1,1.0,1.0,SET
1651,2151,-,CSK M10X30mm,0,10,1.0,10.0,SET
1652,2151,-,CSK M10X25mm,0,10,1.0,10.0,SET
1653,2151,-,PLATE,0,1,1.0,1.0,NOS
1654,2151,-,INDUYTRIAL TOP,0,4,1.0,4.0,NOS
1655,2151,-,EXTENSION BOARD,0,1,1.0,1.0,NOS
1656,2151,-,CUT ALLEN KAY M10,0,1,1.0,1.0,NOS
1657,2151,-,CUTTING WHEEL 4'',0,15,1.0,15.0,NOS
1658,2152,00828-11-41,L-MYLER,0,3,1.0,3.0,NOS
1659,2152,00828-11-42,L-MYLER,0,3,1.0,3.0,NOS
1660,2152,00829-03-37,MYLER,0,1,1.0,1.0,NOS
1661,2153,-,4''GRANDER ,0,2,1.0,2.0,NOS
1662,2154,-,LOVJOY COUPLING QA,0,1,1.0,1.0,NOS
1663,2155,00830-11-41,CLAMP MYLER,0,3,1.0,3.0,NOS
1664,2155,00830-03-37,REST MYLER,0,6,1.0,6.0,NOS
1665,2155,00828-03-36,REST MYLER,0,6,1.0,6.0,NOS
1666,2155,00829-11-51,L BKT,0,3,1.0,3.0,NOS
1667,2156,-,ROBOTEQ DC MOTOR CONTROLLER,0,1,1.0,1.0,NOS
1668,2156,-,JAYSHREE MOTOR -BM70-0.7H,-,1,1.0,1.0,NOS
1669,2156,-,MOTOR HARDNESS,-,1,1.0,1.0,NOS
1670,2157,-,MT CABINET,-,1,1.0,1.0,NOS
1671,2159,00706-09-11,DIAMOND PIN WITH THREDING,0,3,1.0,3.0,NOS
1672,2159,,,,0,0.0,0.0,NOS
1673,2160,00791-16-01,PIVOT PIN,0,2,1.0,2.0,NOS
1674,2160,00701-03-03,SHAFT,0,10,1.0,10.0,NOS
1675,2161,5JN827105,TAIL GATE OUTER UPPER,0,1,1.0,1.0,NOS
1676,2162,-,SELF THREADING SCREW 8X25mm,0,250,1.0,250.0,NOS
1677,2162,-,SPACER,0,29,1.0,29.0,NOS
1678,2162,-,8X75 ALLEN BOLT,0,44,1.0,44.0,NOS
1679,2162,-,8X80 ALLEN BOLT,0,56,1.0,56.0,NOS
1680,2163,-,WELDING MACHINE WITH WIRE ,0,1,1.0,1.0,NOS
1681,2164,,MT CABINET,0,2,1.0,2.0,NOS
1682,2165,-,DRAM EMPTY,0,2,1.0,2.0,NOS
1683,2166,00832-05-37,-,0,1,1.0,1.0,NOS
1684,2166,00832-13-49,-,0,1,1.0,1.0,NOS
1685,2166,00828-03-38,-,0,6,1.0,6.0,NOS
1686,2166,00830-11-41,-,0,3,1.0,3.0,NOS
1687,2166,00831-11-44,-,0,1,1.0,1.0,NOS
1688,2166,00832-09-11,-,0,3,1.0,3.0,NOS
1689,2167,-,CABLE TROLY,0,10,1.0,10.0,NOS
1690,2168,00828-03-38,REST MYLER,0,6,1.0,6.0,NOS
1691,2168,00830-11-41,CLAMP MYLER,0,3,1.0,3.0,NOS
1692,2168,00832-05-37,REST MYLER,0,1,1.0,1.0,NOS
1693,2168,00831-11-44,CLAMP MYLER,0,1,1.0,1.0,NOS
1694,2168,00831-09-13,ROUND PIN WITH THREADING,0,3,1.0,3.0,NOS
1695,2168,00832-13-49,L BKT,0,1,1.0,1.0,NOS
1696,2168,00827-05-13,ROUND PIN WITH TAPING,0,3,1.0,3.0,NOS
1697,2168,00827-05-14,ROUND PIN WITH TAPING,0,2,1.0,2.0,NOS
1698,2168,00827-09-13,ROUND PIN,0,3,1.0,3.0,NOS
1699,2168,00827-09-14,ROUND PIN,0,3,1.0,3.0,NOS
1700,2168,00828-11-13,ROUND PIN WITH TAPING,0,3,1.0,3.0,NOS
1701,2168,00830-11-49,L BKT,0,1,1.0,1.0,NOS
1702,2169,-,MODIFICATION FRONT DOOR LH-5JL831111,0,2,1.0,2.0,NOS
1703,2169,-,MODIFICATION FRONT DOOR RH-5JL831112,0,2,1.0,2.0,NOS
1704,2170,-,BELLOW ,0,12,1.0,12.0,NOS
1708,2172,-,SPANNER 20-22,0,1,1.0,1.0,NOS
1709,2173,-,MOTOR ,0,1,1.0,1.0,NOS
1710,2173,-,DRIVE,0,4,1.0,4.0,NOS
1711,2174,00791-16-01,PIVOT PIN,0,2,1.0,2.0,NOS
1712,2174,00701-03-03,SHAFT,0,10,1.0,10.0,NOS
1713,2175,-,INSERT 30mmX115mmX5mm,0,6,1.0,6.0,NOS
1714,2175,-,INSERT 30mmX150mmX5mm,0,6,1.0,6.0,NOS
1715,2176,-,BLUE DRAM EMPTY,0,2,30.0,60.0,NOS
1716,2177,-,ALLEN BOLT M4X60mm,0,6,1.0,6.0,NOS
1717,2177,-,ALLEN BOLT M4X35mm,0,6,1.0,6.0,NOS
1718,2177,-,HANDGLOVES,0,8,1.0,8.0,NOS
1719,2178,-,"4"" GRANDER",0,1,1.0,1.0,NOS
1720,2178,-,DRILLING MACHINE,0,1,1.0,1.0,NOS
1721,2179,-,DRILL 2.5mm,0,2,1.0,2.0,NOS
1722,2179,-,DRILL 3.2mm,0,2,1.0,2.0,NOS
1723,2179,-,DRILL 4.2mm,0,1,1.0,1.0,NOS
1724,2179,-,DRILL 5.2mm,0,2,1.0,2.0,NOS
1725,2179,-,TAP 3,0,1,1.0,1.0,NOS
1726,2179,-,TAP 4,0,1,1.0,1.0,NOS
1727,2179,-,TAP 5,0,1,1.0,1.0,NOS
1728,2179,-,25 CORE 0.5 SQR mm,0,10,1.0,10.0,MTR
1729,2179,-,PLYER,0,1,1.0,1.0,NOS
1730,2179,-,WIRE STRIPPER,0,1,1.0,1.0,NOS
1731,2179,-,MALTIMETER,0,1,1.0,1.0,NOS
1732,2179,-,SCREW DRIVER,0,1,1.0,1.0,NOS
1733,2179,,CABLE TAI,0,200,1.0,200.0,NOS
1734,2179,-,PVC SYDEL,0,25,1.0,25.0,NOS
1735,2179,-,THREE PIN TOP,0,3,1.0,3.0,NOS
1736,2179,-,TESTER,0,1,1.0,1.0,NOS
1737,2179,,,,0,0.0,0.0,NOS
1738,2179,,,,0,0.0,0.0,NOS
1739,2179,,,,0,0.0,0.0,NOS
1740,2179,,,,0,0.0,0.0,NOS
1742,2180,-,WHITE CAND,0,1,20.0,20.0,NOS
1743,2181,00828-11-11,ROUND PIN WITH THREADING,0,2,1.0,2.0,NOS
1744,2181,00791-05-28,BEARING HOUSING,0,4,1.0,4.0,NOS
1745,2181,00791-04-28,BEARING HOUSING,0,4,1.0,4.0,NOS
1746,2182,00828-11-11,ROUND PIN WITH THREADING,0,1,1.0,1.0,NOS
1747,2183,X-EXPENSE,"NPMO-21375328,PART NO-3081065,CYLINDER HEAD",0,1,1.0,1.0,NOS
1748,2183,	X-EXPENSE,"NPMO-21375328,PART NO-3646323,CYLINDER HEAD",0,1,1.0,1.0,NOS
1749,2183,,PLATE,0,1,1.0,1.0,NOS
1754,2185,-,INSERT 44(outside)X 298 ,0,8,1.0,8.0,NOS
1755,2185,-,INSERT 44(outside)X 489,0,8,1.0,8.0,NOS
1756,2185,-,INSERT 44(outside)X 884,0,4,1.0,4.0,NOS
1757,2185,-,FINGURE PATTI 30X 5,0,24,1.0,24.0,NOS
1758,2186,-,HP LASER JET 1020 TONNER,0,4,1.0,4.0,NOS
1761,2187,-,J-HOOK,0,15,1.0,15.0,NOS
1762,2187,-,HEX BOLT M8*50,,80,1.0,80.0,NOS
1763,2187,-,HEX BOLT M10*30,,100,1.0,100.0,NOS
1764,2187,-,NYLON SUPPORT,,40,1.0,40.0,NOS
1765,2187,-,ALLEN M8*75,,50,1.0,50.0,NOS
1766,2187,-,ALLEN M8*40,,80,1.0,80.0,NOS
1767,2187,-,GASSPRING,,5,1.0,5.0,NOS
1769,2187,-,FLAT 40*10,,30,1.0,30.0,NOS
1770,2187,-,50*50*5,,2,1.0,2.0,NOS
1771,2187,-,M8 NUT,,150,1.0,150.0,NOS
1772,2187,-,NYLOCK NUT M8,,150,1.0,150.0,NOS
1773,2188,-,ALLEN M8*65,0,10,1.0,10.0,NOS
1775,2188,-,PLATE,,1,1.0,1.0,NOS
1776,2189,-,SQ TUBE 50*50,0,1,1.0,1.0,NOS
1777,2189,-,200*200 PLATE,,1,1.0,1.0,NOS
1778,2189,-,50*10 FLAT,,1,1.0,1.0,NOS
1779,2189,-,25*30 PLATE,,1,1.0,1.0,NOS
1780,2189,-,ALLEN M8*65,,10,1.0,10.0,NOS
1781,2190,-,sk sun front door dunnage,0,2,1.0,2.0,NOS
1782,2190,-,SELF THREADING,,500,1.0,500.0,NOS
1783,2191,00840-02-01,insert-43.8*20*979,0,12,1.0,12.0,NOS
1784,2192,-,LOVJOY COUPLING ,0,1,1.0,1.0,NOS
1785,2194,-,DRAM EMPTY,0,2,30.0,60.0,NOS
1786,2195,S100-018-000,Baumer make M18 PNP/NO inductive sensor connector version Part No. IGYX 18P17B3/S14L,0,6,1.0,6.0,NOS
1787,2195,S100-018-001,"Banumer Make Proximty sensor Mode: IGYX18P17B3/LTYPE: M-18, PNP-NOWITH 2MTR CABLE",,6,1.0,6.0,NOS
1788,2197,S100-018-000,Baumer make M18 PNP/NO inductive sensor connector version Part No. IGYX 18P17B3/S14L,0,6,1.0,6.0,NOS
1789,2198,S100-018-001,"Banumer Make Proximty sensor Mode: IGYX18P17B3/LTYPE: M-18, PNP-NOWITH 2MTR CABLE",,6,1.0,6.0,NOS
1790,2198,S100-018-000,Baumer make M18 PNP/NO inductive sensor connector version Part No. IGYX 18P17B3/S14L,,6,1.0,6.0,NOS
1791,2200,-,ferro arm cmm machine,0,1,1.0,1.0,NOS
1792,2201,00791 03 03,shaft,0,34,1.0,34.0,NOS
1793,2201,00 827 09 14,Round pin,,3,1.0,3.0,NOS
1794,2201,00 827 05 14,Round pin,,3,1.0,3.0,NOS
1795,2202,-,DRIVE,0,4,1.0,4.0,NOS
1796,2202,-,MOTOR,,2,1.0,2.0,NOS
1797,2203,-,MONITER ,0,1,1.0,1.0,NOS
1798,2204,-,PHOTO SENSOR,0,1,1.0,1.0,NOS
1799,2205,-,GRADDER MACHINE,0,3,1.0,3.0,NOS
1800,2206,-,COUPLER,0,1,1.0,1.0,NOS
1804,2207,,CO2 TORCH,,5,1.0,5.0,NOS
1805,2207,-,GAS CUTTING TORCH,,3,1.0,3.0,NOS
1806,2208,-,PARTS,0,51,1.0,51.0,NOS
1807,2209,-,TESTING PANEL,0,1,1.0,1.0,NOS
1808,2210,-,40*290 INSERT,0,20,1.0,20.0,NOS
1809,2210,-,40*490 INSERT,,20,1.0,20.0,NOS
1810,2210,-,40*885 INSERT,,20,1.0,20.0,NOS
1811,2210,-,40*970 INSERT,,38,1.0,38.0,NOS
1812,2210,-,PU FINGER,,24,1.0,24.0,NOS
1813,2211,791-05-01,MACKNUM WHEEL PLATES,0,8,1.0,8.0,NOS
1815,2212,00 837-03-06,40*890 INSERT TAILGATE FOR 106 DUNNAGE,0,14,1.0,14.0,NOS
1816,2212,00 837-03-05,40*490 INSERT TAILGATE FOR DUNNAGE,,28,1.0,28.0,NOS
1817,2212,00 837-03-06,40*290 INSERT TAILGATE FOR DUNNAGE,,28,1.0,28.0,NOS
1818,2212,-,PU FINGER,,0,1.0,0.0,NOS
1819,2213,00791 03 08,PU ROLLER,0,20,1.0,20.0,NOS
1820,2214,00 837-03-06,40*290 INSERT TAILGATE FOR DUNNAGE,0,1,1.0,1.0,NOS
1821,2215,-,STORAGE CANE,0,2,1.0,2.0,NOS
1822,2216,GHF45D,HINGES DHIF 4530 DARSHANA SS S04 AND POLYAMIDE,0,0,0.0,0.0,NOS
1823,2217,791-07-15,CYL-MTG PIN,0,1,1.0,1.0,NOS
1824,2217,791-07-88, I -BKT,,1,1.0,1.0,NOS
1825,2217,791-17-04,SPACER,,2,1.0,2.0,NOS
1826,2217,791-07-11,BOTTOM SUPPORT,,4,1.0,4.0,NOS
1827,2217,791-07-14,CYLINDER MOUNTING,,2,1.0,2.0,NOS
1828,2217,791-17-08,CYLINDER MOUNTING BKT,,1,1.0,1.0,NOS
1829,2217,791-09-56,U-BKT,,3,1.0,3.0,NOS
1830,2217,-,LINKAGED BKT,,1,1.0,1.0,NOS
1831,2217,-,CHAIN LOCK,,4,1.0,4.0,NOS
1832,2218,-,40*258 INSERT TAILGATE FOR106 DUNNAGE,0,40,1.0,40.0,NOS
1833,2218,-,40*485 INSERT TAILGATE FOR DUNNAGE,,40,1.0,40.0,NOS
1834,2218,-,40*882 INSERT TAILGATE FOR 106 DUNNAGE,,20,1.0,20.0,NOS
1835,2218,-,40*980 INSERT TAIL GATE  FOR DUNNAGE,,60,1.0,60.0,NOS
1836,2219,-,40*258 INSERT TAILGATE FOR106 DUNNAGE,0,40,1.0,40.0,NOS
1837,2219,-,40*485 INSERT TAILGATE FOR DUNNAGE,,40,1.0,40.0,NOS
1838,2219,-,40*882 INSERT TAILGATE FOR 106 DUNNAGE,,20,1.0,20.0,NOS
1839,2219,-,40*980 INSERT TAIL GATE  FOR DUNNAGE,,60,1.0,60.0,NOS
1840,2219,-,PU FINGER,,20,1.0,20.0,NOS
1841,2219,-,PU FINGER,,23,1.0,23.0,NOS
1842,2219,-,PU FINGER,,23,1.0,23.0,NOS
1843,2220,-,SHAFT,0,44,1.0,44.0,NOS
1844,2220,-,PIN,,2,1.0,2.0,NOS
1845,2221,-,PU FINGER WITH CHAMPER,0,27,1.0,27.0,NOS
1846,2221,-,PU FINGER WITH SLAOT,,27,1.0,27.0,NOS
1847,2222,-,INSERT  OUTER 44*980,0,139,1.0,139.0,NOS
1848,2222,-,INSERT OUTER 40*881,,57,1.0,57.0,NOS
1849,2223,-,PU FINGER,0,17,1.0,17.0,NOS
1851,2224,-,PAINT 5018 ,0,40,1.0,40.0,NOS
1852,2224,-,THINNER QD ,,10,1.0,10.0,NOS
1853,2224,-,DUNNAGE-FD SK SUV,,2,1.0,2.0,NOS
1854,2224,-,Self Threading Screw 7*25,,1000,1.0,1000.0,NOS
1855,2224,-,SPACER BAR 16 BRIGHT BAR,,1,1.0,1.0,NOS
1860,2225,-,INSERT 20*44*20*882MM,,63,1.0,63.0,NOS
1861,2225,-,INSERT 20*44*20*285MM,,240,1.0,240.0,NOS
1862,2225,-,INSERT 20*44*20*485,,80,1.0,80.0,NOS
1863,2225,-,PU FINGER L TYPE,,50,1.0,50.0,NOS
1864,2225,-,PU FINFER SQUARE ,,50,1.0,50.0,NOS
1865,2226,-,PU FINGER,0,500,1.0,500.0,NOS
1866,2226,-,PAINT 5018,,20,1.0,20.0,NOS
1867,2226,-,THINNER QD,,10,1.0,10.0,NOS
1868,2226,-,ID 16 SPACER PIPE,,1,1.0,1.0,NOS
1869,2227,-,INSERT 20*44*20*485,0,120,1.0,120.0,NOS
1870,2227,-,INSERT 20*44*20*285MM,,72,1.0,72.0,NOS
1871,2227,-,PU FINFER SQUARE,,48,1.0,48.0,NOS
1872,2227,-,PU FINGER L TYPE,,36,1.0,36.0,NOS
1873,2228,-,40*985 INSERT,0,58,1.0,58.0,NOS
1874,2229,-,INSERT 20*44*20*285MM,0,130,1.0,130.0,NOS
1875,2229,-,INSERT 20*44*20*485,,35,1.0,35.0,NOS
1876,2229,-,PU FINFER SQUARE,,200,1.0,200.0,NOS
1877,2229,-,PU FINGER L TYPE,,200,1.0,200.0,NOS
1878,2231,-,HAIWIN BLOCK,0,1,1.0,1.0,NOS
1879,2232,-,INSERT 50.5*1003,0,40,1.0,40.0,NOS
1880,2232,-,INSERT 50.5*963,,40,1.0,40.0,NOS
1881,2232,-,INSERT 40.5*998,,80,1.0,80.0,NOS
1889,2233,-,Allen bolt M5 X 12,0,20,1.0,20.0,NOS
1890,2233,-,Allen bolt M5 X 16,0,20,1.0,20.0,NOS
1891,2233,-,Allen bolt M5 X 20,0,20,1.0,20.0,NOS
1892,2233,-,drilling machine dewalt,0,1,1.0,1.0,NOS
1893,2233,-,grinding machine,0,1,1.0,1.0,NOS
1894,2233,-,Cut off wheel,0,2,1.0,2.0,NOS
1895,2233,-,Drill 4.2,0,2,1.0,2.0,NOS
1896,2233,-,punched washer M5,0,30,1.0,30.0,NOS
1897,2234,-,Covers,0,7,1.0,7.0,NOS
1898,2235,,NOTCH BACK FRONT DOOR MODIFICATION -LH 5JL831111,0,1,1.0,1.0,NOS
1899,2235,-,NOTCH BACK FRONT DOOR MODIFICATION -RH 5JL831112,,5,1.0,5.0,NOS
1900,2236,-,FRONT DOOR SK SUV NEW RH 6JM831112,0,1,1.0,1.0,NOS
1901,2237,-,CHEQUER PLATE-570*1220,0,2,1.0,2.0,NOS
1902,2237,-,CHEQUER PLATE-560*1060,,1,1.0,1.0,NOS
1903,2238,-,GRADDER MACHINE,0,1,1.0,1.0,NOS
1904,2239,-,PAINT QD 5018,0,20,1.0,20.0,NOS
1905,2239,-,PU FINGER,-,500,1.0,500.0,NOS
1906,2239,-,ALLEN BOLT M8*75,-,100,1.0,100.0,NOS
1907,2240,-,DUNNAGE,,2,1.0,2.0,NOS
1908,2241,-,DUNNAGE-FD SK SUV,0,2,1.0,2.0,NOS
1909,2243,-,Z21-0424-001,0,1,1.0,1.0,NOS
1910,2244,-,40*485 INSERT TAILGATE FOR DUNNAGE,0,118,1.0,118.0,NOS
1911,2244,-,40*881 INSERT TAILGATE FOR 106 DUNNAGE,,59,1.0,59.0,NOS
1912,2245,-,PU FINFER SQUARE,,150,1.0,150.0,NOS
1913,2245,-,40*485 INSERT TAILGATE FOR DUNNAGE,0,118,1.0,118.0,NOS
1914,2245,-,40*881 INSERT TAILGATE FOR 106 DUNNAGE,,59,1.0,59.0,NOS
1915,2245,-,PU FINGER L TYPE,,150,1.0,150.0,NOS
1916,2246,-,DRILL MACHINE,0,1,1.0,1.0,NOS
1917,2246,-,HAND GLOVES,,2,1.0,2.0,NOS
1918,2247,-,STOOLN 200*300,0,1,1.0,1.0,NOS
1919,2248,1,modf container body side LH 5JL809605,0,4,1.0,4.0,NOS
1920,2248,2,modftail gate outer lower 5JL827106,,4,1.0,4.0,NOS
1921,2250,1,modf container body side LH 5JL809605,0,4,1.0,4.0,NOS
1924,2251,-, PIPE,0,1,1.0,1.0,NOS
1925,2252,-,PU FINFER SQUARE,0,250,1.0,250.0,NOS
1926,2252,-,PU FINGER L TYPE,,250,1.0,250.0,NOS
1927,2252,-,INSERT 20*44*20*485,,106,1.0,106.0,NOS
1928,2253,-,1.	SK SUV FRONT DOOR NEW LH 6JM831111  ,0,1,1.0,1.0,NOS
1932,2254,-,2.	FRONT DOOR NOTCH BACK MODIFICATION RH 5JL831112 ,0,2,1.0,2.0,NOS
1933,2254,-,FRONT DOOR NOTCH BACK MODIFICATION LH 5JL83111,0,5,1.0,5.0,NOS
1934,2255,-,"DELL MOTHER BOARD ,SMPS,8GB RAM",0,1,1.0,1.0,NOS
1935,2256,BM701H,PBC70-35,0,1,1.0,1.0,NOS
1936,2257,-,CHAKKU,0,1,1.0,1.0,NOS
1937,2258,-,RIB 100*6,0,21,1.0,21.0,NOS
1938,2259,-,DRILL MACHINE,0,1,1.0,1.0,NOS
1939,2260,-,INSERT 20*44*20*779,0,352,1.0,352.0,NOS
1940,2262,-,INSERT 20*44*20*979,0,250,1.0,250.0,NOS
1941,2262,-,INSERT 20*44*20*881MM,,35,1.0,35.0,NOS
1942,2262,-,INSERT 20*44*20*485,,1,1.0,1.0,NOS
1943,2262,-,INSERT 20*44*20*285MM,,1,1.0,1.0,NOS
1944,2263,-,INSERT 20*44*20*979MM,0,8,1.0,8.0,NOS
1945,2264,-,NYLON PATTI,0,8,1.0,8.0,NOS
1946,2264,-,ALLEN BOLT M8*75,,100,1.0,100.0,NOS
1947,2264,-,BRUSH HOLDER,,5,1.0,5.0,NOS
1948,2264,-,NYLOCK NUT,,100,1.0,100.0,NOS
1949,2264,-,BRUSH,,30,1.0,30.0,NOS
1950,2264,-,PU FINGER,,70,1.0,70.0,NOS
1953,2264,-,PAINT 5018,,40,1.0,40.0,NOS
1954,2264,-,GAS SPRING,,10,1.0,10.0,NOS
1955,2264,-,THINNER QD,,5,1.0,5.0,NOS
1956,2264,-,NYLON NUT M8,,100,1.0,100.0,NOS
1957,2264,-,J HOOK,,4,1.0,4.0,NOS
1958,2264,-,HEX BOLT M8*45,,40,1.0,40.0,NOS
1959,2264,-,PLAIN WASHER M8,,40,1.0,40.0,NOS
1960,2264,-,HEX NUT M8,,80,1.0,80.0,NOS
1961,2264,-,PU FINGER,,100,1.0,100.0,NOS
1962,2265,-,STORAGE CANE 5 LTR,0,2,1.0,2.0,NOS
1963,2266,-,TESTING PANEL,0,1,1.0,1.0,NOS
1964,2267,-,Cont Modn Body Side LH 5JL809605,0,4,1.0,4.0,NOS
1965,2269,-,New Cont Tail Gate Outer Door 5JL827106,0,4,1.0,4.0,NOS
1971,2270,-,UPPER SIDE DUNNAGE,0,61,1.0,61.0,NOS
1972,2270,-,BOTTOM LH WITH BIG DEGREE DUNNAGE,0,34,1.0,34.0,NOS
1973,2270,-,BOTTOM LH WITH SMALL DEGREE DUNNAGE,0,32,1.0,32.0,NOS
1974,2270,-,BOTTOM RH WITH BIG DEGREE DUNNAGE,0,34,1.0,34.0,NOS
1975,2270,-,BOTTOM RH WITH SMALL DEGREE DUNNAGE,0,31,1.0,31.0,NOS
1976,2270,-,FINGURES,0,500,1.0,500.0,NOS
1977,2271,-,1/8*6 FLOW CONTROL,0,6,1.0,6.0,NOS
1978,2271,-,ALLEN KEY SET ,,1,1.0,1.0,NOS
1979,2271,-,SHEET 2MM*1000,,1,1.0,1.0,NOS
1980,2272,-,FRONT DOOR NOTCH BACK MODIFICATION LH 5JL831111,0,8,1.0,8.0,NOS
1981,2273,-,SS PLATE 1250X2.5,0,2,1.0,2.0,NOS
1982,2274,-,COIL,0,1,1.0,1.0,NOS
1983,2275,-,800mm,0,2,1.0,2.0,NOS
1984,2275,-,600mm,,2,1.0,2.0,NOS
1985,2276,-,PU FINGER L TYPE,0,500,1.0,500.0,NOS
1986,2276,-,PU FINFER SQUARE,,500,1.0,500.0,NOS
1987,2277,-,MEASURING TAPE,0,1,1.0,1.0,NOS
1988,2277,-,VERNIER,,1,1.0,1.0,NOS
1989,2278,-,GAS SPRING,0,20,1.0,20.0,NOS
1990,2278,-,BRUSH HOLDER,,20,1.0,20.0,NOS
1991,2278,-,NYLON PATTI-40x5x1200,,8,1.0,8.0,NOS
1992,2278,-,J HOOK,,2,1.0,2.0,NOS
1993,2278,-,HEX BOLT M8*45,,40,1.0,40.0,NOS
1994,2278,-,ALLEN BOLT M8*75,,100,1.0,100.0,NOS
1995,2278,-,NYLON NUT M8,,200,1.0,200.0,NOS
1996,2279,-,COMPRESSER ,0,1,1.0,1.0,NOS
1997,2280,-,MS PIPE,0,1,1.0,1.0,NOS
1998,2281,-,MS FLAT 40X10,0,48,1.0,48.0,NOS
1999,2281,-,MS FLAT 65X10,,6,1.0,6.0,NOS
2000,2281,-,BRUSH,,100,1.0,100.0,NOS
2001,2282,-,FRONT DOOR NOTCH BACK MODIFICATION LH 5JL831111 ,0,5,1.0,5.0,NOS
2002,2282,-,FRONT DOOR NOTCH BACK MODIFICATION RH 5JL831112 ,,2,1.0,2.0,NOS
2003,2283,-,NYLON PATTI-40x5x1200,0,60,1.0,60.0,NOS
2004,2284,-,INSERT 20*44*20*979,0,8,1.0,8.0,NOS
2005,2284,-,PU FINGER L TYPE,,14,1.0,14.0,NOS
2006,2284,-,PU FINFER SQUARE,,9,1.0,9.0,NOS
2007,2285,-,DRILL MACHINE,0,1,1.0,1.0,NOS
2008,2285,-,DRILL 3.3 ,,1,1.0,1.0,NOS
2009,2285,-,DRILL 10.0,,1,1.0,1.0,NOS
2010,2286,-,DRILL MACHINE,0,1,1.0,1.0,NOS
2011,2287,-,DRILL MACHINE,0,1,1.0,1.0,NOS
2013,2287,-,DRILL 3.3,,1,1.0,1.0,NOS
2014,2287,-,DRILL 10.0,,1,1.0,1.0,NOS
2015,2288,-,VERNIER,0,1,1.0,1.0,NOS
2016,2289,-,MULTIMETAR,0,1,1.0,1.0,NOS
2017,2289,-,DRILL MACHINE,,1,1.0,1.0,NOS
2018,2289,-,DRILL 3.3,,2,1.0,2.0,NOS
2019,2289,-,DRILL 10.0,,1,1.0,1.0,NOS
2020,2289,-,PLAYAR,,1,1.0,1.0,NOS
2021,2289,-,STEEPER,,1,1.0,1.0,NOS
2022,2290,-,INSERT 20*44*20*979,0,102,1.0,102.0,NOS
2023,2290,-,INSERT 20*44*20*881MM,,214,1.0,214.0,NOS
2024,2290,-,INSERT 20*44*20*228,,350,1.0,350.0,NOS
2025,2290,-,INSERT 20*44*20*485,,422,1.0,422.0,NOS
2026,2291,-,PU FINFER SQUARE,,400,1.0,400.0,NOS
2027,2291,-,PU FINGER L TYPE,,400,1.0,400.0,NOS
2028,2292,-,PANEL CABINET FOR POLISHING -5/11/12/14/15,0,5,1.0,5.0,NOS
2029,2293,-,HAND GLOVES,0,6,1.0,6.0,NOS
