Id,SysDate,SysTime,CompId,FinYearId,SessionId,EmpId,BillMonth,BillAmt,Taxes
84,2013-10-01,2:19:13 PM,1,1,Sapl0173,Sapl0015,9.0,920.18,6.0
85,2013-10-01,2:19:42 PM,1,1,Sapl0173,Sapl0020,9.0,411.52,6.0
86,2013-10-01,2:20:13 PM,1,1,Sapl0173,Sapl0031,9.0,227.3,6.0
87,2013-10-01,2:20:52 PM,1,1,Sapl0173,Sapl0041,9.0,166.97,6.0
88,2013-10-01,2:21:24 PM,1,1,Sapl0173,Sapl0042,9.0,145.51,6.0
89,2013-10-01,2:21:52 PM,1,1,Sapl0173,Sapl0047,9.0,140.45,6.0
90,2013-10-01,2:32:54 PM,1,1,Sapl0173,Sapl0050,9.0,153.6,6.0
91,2013-10-01,2:33:47 PM,1,1,Sapl0173,Sapl0055,9.0,336.69,6.0
92,2013-10-01,2:36:21 PM,1,1,Sapl0173,Sapl0057,9.0,448.2,6.0
93,2013-10-01,2:37:05 PM,1,1,Sapl0173,Sapl0071,9.0,345.73,6.0
94,2013-10-01,2:43:53 PM,1,1,Sapl0173,Sapl0005,9.0,237.64,6.0
95,2013-10-11,3:22:13 PM,1,1,Sapl0173,Sapl0053,9.0,154.49,6.0
96,2013-11-09,12:27:31 PM,1,1,Sapl0173,Sapl0011,10.0,832.03,6.0
97,2013-11-09,9:58:24 AM,1,1,Sapl0173,Sapl0061,10.0,536.07,6.0
98,2013-11-09,10:09:27 AM,1,1,Sapl0173,Sapl0029,10.0,241.91,6.0
99,2013-11-09,10:11:28 AM,1,1,Sapl0173,Sapl0013,10.0,590.23,6.0
100,2013-11-09,10:11:05 AM,1,1,Sapl0173,Sapl0009,10.0,434.95,6.0
101,2013-11-09,10:12:48 AM,1,1,Sapl0173,Sapl0053,10.0,140.45,6.0
102,2013-11-09,10:13:47 AM,1,1,Sapl0173,Sapl0028,10.0,241.57,6.0
103,2013-11-09,10:15:27 AM,1,1,Sapl0173,Sapl0056,10.0,160.68,6.0
104,2013-11-09,10:18:13 AM,1,1,Sapl0173,Sapl0040,10.0,344.95,6.0
105,2013-11-09,10:19:19 AM,1,1,Sapl0173,Sapl0073,10.0,381.46,6.0
106,2013-11-09,10:20:15 AM,1,1,Sapl0173,Sapl0082,10.0,175.06,6.0
107,2013-11-09,10:21:20 AM,1,1,Sapl0173,Sapl0076,10.0,1470.79,6.0
108,2013-11-09,10:24:11 AM,1,1,Sapl0173,Sapl0010,10.0,273.93,6.0
109,2013-11-09,10:25:28 AM,1,1,Sapl0173,Sapl0037,10.0,234.72,6.0
110,2013-11-09,10:26:14 AM,1,1,Sapl0173,Sapl0008,10.0,528.65,6.0
111,2013-11-09,10:27:04 AM,1,1,Sapl0173,Sapl0153,10.0,493.71,6.0
112,2013-11-09,10:27:45 AM,1,1,Sapl0173,Sapl0036,10.0,475.28,6.0
113,2013-11-09,10:28:19 AM,1,1,Sapl0173,Sapl0005,10.0,215.28,6.0
114,2013-11-09,10:29:18 AM,1,1,Sapl0173,Sapl0018,10.0,307.87,6.0
115,2013-11-09,10:29:51 AM,1,1,Sapl0173,Sapl0043,10.0,140.45,6.0
116,2013-11-09,10:30:32 AM,1,1,Sapl0173,Sapl0068,10.0,206.52,6.0
117,2013-11-09,10:32:04 AM,1,1,Sapl0173,Sapl0049,10.0,264.5,6.0
118,2013-11-09,10:32:34 AM,1,1,Sapl0173,Sapl0112,10.0,208.32,6.0
119,2013-11-09,10:32:56 AM,1,1,Sapl0173,Sapl0019,10.0,251.46,6.0
120,2013-11-09,10:33:22 AM,1,1,Sapl0173,Sapl0143,10.0,174.5,6.0
121,2013-11-09,10:33:51 AM,1,1,Sapl0173,Sapl0122,10.0,140.45,6.0
122,2013-11-09,12:34:10 PM,1,1,Sapl0173,Sapl0047,10.0,140.45,6.0
123,2013-11-09,10:34:52 AM,1,1,Sapl0173,Sapl0032,10.0,140.45,6.0
124,2013-11-09,10:35:21 AM,1,1,Sapl0173,Sapl0059,10.0,209.78,6.0
125,2013-11-09,10:35:54 AM,1,1,Sapl0173,Sapl0062,10.0,785.4,6.0
126,2013-11-09,10:38:39 AM,1,1,Sapl0173,Sapl0002,10.0,326.52,6.0
127,2013-11-09,10:38:57 AM,1,1,Sapl0173,Sapl0003,10.0,1406.63,6.0
128,2013-11-09,10:40:18 AM,1,1,Sapl0173,Sapl0038,10.0,167.98,6.0
129,2013-11-09,10:41:55 AM,1,1,Sapl0173,Sapl0042,10.0,154.5,6.0
130,2013-11-09,10:44:23 AM,1,1,Sapl0173,Sapl0012,10.0,433.37,6.0
131,2013-11-09,10:51:54 AM,1,1,Sapl0173,Sapl0031,10.0,208.54,6.0
132,2013-11-09,10:54:10 AM,1,1,Sapl0173,Sapl0020,10.0,634.27,6.0
133,2013-11-09,11:03:31 AM,1,1,Sapl0173,Sapl0044,10.0,213.6,6.0
134,2013-11-09,12:33:17 PM,1,1,Sapl0173,Sapl0055,10.0,337.4,6.0
135,2013-11-09,12:36:19 PM,1,1,Sapl0173,Sapl0057,10.0,431.8,6.0
136,2013-11-09,12:53:09 PM,1,1,Sapl0173,Sapl0015,10.0,678.99,6.0
137,2013-11-09,12:55:28 PM,1,1,Sapl0173,Sapl0041,10.0,144.47,6.0
138,2013-11-09,2:32:09 PM,1,1,Sapl0173,Sapl0071,10.0,293.82,6.0
139,2013-11-09,3:10:50 PM,1,1,Sapl0173,Sapl0173,10.0,140.0,6.0
140,2013-11-09,3:29:27 PM,1,1,Sapl0173,Sapl0161,10.0,367.98,6.0
141,2013-11-09,3:36:54 PM,1,1,Sapl0173,Sapl0172,10.0,241.91,6.0
142,2013-11-21,12:06:41 PM,1,1,sapl0173,Sapl0048,10.0,375.0,6.0
143,2013-11-21,12:08:12 PM,1,1,sapl0173,Sapl0048,11.0,330.0,6.0
144,2013-12-03,4:40:13 PM,1,1,sapl0173,Sapl0173,11.0,140.45,6.0
